Year,agegrp,Births,Abortions,Total,Population,Value
1985,Under 20,8550.071053232714,2841,11391.071053232714,214679.5,53.060823475146506
1986,Under 20,8407.539067260794,2839,11246.539067260794,209766,53.61469002250505
1987,Under 20,8280.33026113909,2697,10977.33026113909,205120.5,53.516495236405376
1988,Under 20,7745.292230446006,2812,10557.292230446006,197764.5,53.38315132617839
1989,Under 20,7481.288973651732,2823,10304.288973651732,188485,54.66901330955636
1990,Under 20,7349.379576535255,2779,10128.379576535255,179606,56.392211710829564
1991,Under 20,6989.605166134918,2851,9840.60516613492,170713.5,57.643977577256166
1992,Under 20,6364.06404904742,2624,8988.06404904742,161649.5,55.60217661698564
1993,Under 20,5735.497108917002,2585,8320.497108917003,154791,53.75310650436397
1994,Under 20,5538.466363204045,2605,8143.466363204045,151744.5,53.6656443113526
1995,Under 20,5699.764724256181,2481,8180.764724256181,151615,53.95748919471148
1996,Under 20,5948.440722479421,2685,8633.440722479421,152567,56.587864495463776
1997,Under 20,5987.161134731078,2720,8707.161134731079,154469.5,56.36815769282013
1998,Under 20,5981.760050574917,2993,8974.760050574918,156436.5,57.369987506591606
1999,Under 20,5873.0385607251155,2886,8759.038560725116,157060,55.768741632020344
2000,Under 20,5762.7245953104175,2884,8646.7245953104175,157089.5,55.04330076364377
2001,Under 20,5469.346272889582,2998,8467.346272889583,156802.5,54.000071892282214
2002,Under 20,5382.961684509731,2926,8308.96168450973,156679,53.03175080584973
2003,Under 20,5385.880137896448,3103,8488.880137896449,157342.5,53.95160327245625
2004,Under 20,5429.500891206999,3218,8647.500891206999,158363.5,54.60539133832606
2005,Under 20,5464.742771375699,3323,8787.742771375699,158977,55.27681847924982
2006,Under 20,5634.191573327324,3464,9098.191573327324,159575,57.01514380903853
2007,Under 20,5660.308992442962,3573,9233.308992442962,161210,57.27503872243013
2008,Under 20,5393.2746689192945,3498,8891.274668919294,162540,54.70207129887593
2009,Under 20,5099.5545874092,3233,8332.5545874092,163475,50.9714304169396
2010,Under 20,4713.807742448686,3095,7808.807742448686,163899,47.6440231023294
2011,Under 20,4348.50057607974,2730,7078.50057607974,162046,43.68204445700443
2012,Under 20,3931.6230680274675,2516,6447.6230680274675,158167,40.764654245370195
2013,Under 20,3516.4276117907307,2299,5815.42761179073,154347.5,37.67749793025951
2014,Under 20,3096.072422636747,2010,5106.072422636747,151516,33.699889270022624
2015,Under 20,2853.4171708797508,1948,4801.417170879751,149213.5,32.1781686702594
