Code,Country,Year,rate,GDPperCap,MF_ratio,MobilePhones,UrbanPop
5,Denmark,1990,2.936693803,26891.44164,1.041253113,2.883032183,84.843
5,Denmark,1991,2.648832447,27011.38589,1.038915294,3.413116199,84.871
5,Denmark,1992,3.080488629,29569.65453,1.042190141,4.081153984,84.898
5,Denmark,1993,2.901617047,27597.97148,1.044844088,6.888976566,84.925
5,Denmark,1994,2.710888028,29995.56522,1.050384395,9.661633662,84.952
5,Denmark,1995,2.185780465,35351.38071,1.045651276,15.71394063,84.979
5,Denmark,1996,2.300961315,35650.72434,1.044824496,25.05474932,85.006
5,Denmark,1997,2.342109514,32835.92877,1.040358124,27.36064934,85.033
5,Denmark,1998,2.496088665,33368.15485,1.041896072,36.4332626,85.06
5,Denmark,1999,2.333679064,33440.80162,1.041450585,49.39302195,85.086
5,Denmark,2000,2.358402741,30743.55917,1.045194444,62.97378451,85.1
5,Denmark,2001,2.059403999,30751.64946,1.04111453,73.91039895,85.15
5,Denmark,2002,1.537581349,33228.69291,1.046806837,83.34111016,85.25
5,Denmark,2003,1.641978759,40458.77064,1.052554966,88.4931932,85.36
5,Denmark,2004,1.850380293,46511.60457,1.059075945,95.63465791,85.566
5,Denmark,2005,1.944285777,48799.82037,1.057900171,100.5072946,85.856
5,Denmark,2006,1.86937603,52026.99311,1.056176334,107.0505628,86.098
5,Denmark,2007,1.665005088,58487.04501,1.053064329,115.3208334,86.293
5,Denmark,2008,1.95980402,64322.06664,1.055464454,119.2657784,86.487
5,Denmark,2009,1.679170431,58163.29359,1.053487961,123.654185,86.654
5,Denmark,2010,1.599877375,58041.41122,1.051981645,115.5890246,86.795
5,Denmark,2011,1.425462563,61753.66007,1.052143421,128.4855486,86.957
5,Denmark,2012,1.293501108,58507.50021,1.052776747,129.9803588,87.142
5,Denmark,2013,1.160081592,61191.19263,1.056292959,124.714087,87.292
12,England and Wales,1990,16.3858363,19095.467,1.053864925,1.948120161,78.14
12,England and Wales,1991,16.38428455,19900.72665,1.053285156,2.197440097,78.112
12,England and Wales,1992,15.89954599,20487.17079,1.05050874,2.621118549,78.172
12,England and Wales,1993,16.18439056,18389.01957,1.047853986,3.934052718,78.232
12,England and Wales,1994,15.07830928,19709.2381,1.04664994,6.815338962,78.293
12,England and Wales,1995,15.28526949,23013.45882,1.044455728,9.892982241,78.353
12,England and Wales,1996,16.83279319,24219.62285,1.042036491,12.46348124,78.413
12,England and Wales,1997,16.88539648,26621.48006,1.041226006,15.15253492,78.472
12,England and Wales,1998,16.79017363,28014.8947,1.0417628,25.41295714,78.532
12,England and Wales,1999,16.0922518,28383.66891,1.044904988,46.27491764,78.591
12,England and Wales,2000,15.17221575,27982.35576,1.050177687,73.70886336,78.651
12,England and Wales,2001,14.41883733,27427.5875,1.054994929,78.24769922,78.751
12,England and Wales,2002,13.9722645,29785.98629,1.055222741,82.94670337,79.047
12,England and Wales,2003,13.73635445,34173.97998,1.046666403,91.06414709,79.339
12,England and Wales,2004,13.64477963,39983.98467,1.035899623,99.67234557,79.629
12,England and Wales,2005,13.20783327,41732.64054,1.034381551,108.6004149,79.915
12,England and Wales,2006,12.96765627,44252.31582,1.043590786,115.254437,80.199
12,England and Wales,2007,12.35622681,50134.3161,1.049494313,120.2257083,80.479
12,England and Wales,2008,12.18888302,46767.59222,1.045263607,120.7240644,80.757
12,England and Wales,2009,11.5851316,38262.18213,1.041477829,121.9353861,81.031
12,England and Wales,2010,10.80805263,38893.01849,1.046716218,121.2030538,81.302
12,England and Wales,2011,9.512228668,41412.34924,1.05496036,120.9215205,81.57
12,England and Wales,2012,9.181896507,41790.77914,1.057163906,121.9127668,81.837
12,England and Wales,2013,7.927749284,42724.06788,1.056468622,121.7088908,82.102
8,Finland,1990,4.22463483,28380.54891,1.051748883,5.161339908,79.367
8,Finland,1991,4.269978594,25503.21521,1.049745808,6.358419047,79.843
8,Finland,1992,4.112180061,22337.48712,1.046922582,7.651669747,80.128
8,Finland,1993,3.612217246,17617.03044,1.048943454,9.644999033,80.409
8,Finland,1994,2.891054085,20305.58355,1.045800106,13.25391689,80.688
8,Finland,1995,2.9109196,26273.4659,1.040544206,20.29937459,80.963
8,Finland,1996,3.231306837,25777.6413,1.042943752,29.23903329,81.223
8,Finland,1997,2.565612382,24676.49708,1.041817379,41.97749656,81.466
8,Finland,1998,2.6458108,25989.4075,1.051189783,55.10944297,81.707
8,Finland,1999,2.770608697,26178.79178,1.049291536,63.24342736,81.946
8,Finland,2000,3.56131121,24253.25042,1.048371105,71.87081844,82.183
8,Finland,2001,3.592212084,24913.24452,1.042696006,80.29235384,82.368
8,Finland,2002,3.776658768,26834.02625,1.043754232,86.6381899,82.503
8,Finland,2003,3.355061266,32816.16088,1.046412171,90.81753315,82.638
8,Finland,2004,3.399038305,37636.11173,1.047292384,95.15116311,82.772
8,Finland,2005,2.98966867,38969.17163,1.044961605,100.2105563,82.905
8,Finland,2006,2.971675568,41120.67651,1.044782943,107.4358085,83.037
8,Finland,2007,2.777777778,48288.5491,1.042510288,114.7599836,83.168
8,Finland,2008,2.362148846,53401.31487,1.042143574,128.3858236,83.299
8,Finland,2009,2.126036316,47107.15571,1.038533137,144.1233426,83.429
8,Finland,2010,2.290752487,46202.41516,1.037578522,156.361179,83.77
8,Finland,2011,1.792356068,50790.72415,1.037059293,165.8860374,84.313
8,Finland,2012,2.107582,47415.55987,1.041749187,172.178726,84.841
8,Finland,2013,1.939462616,49638.07713,1.041208133,136.3200932,85.125
9,France,1990,4.229987153,21690.62912,1.049749544,0.497183723,74.056
9,France,1991,4.219142408,21675.06425,1.047909151,0.655162571,74.229
9,France,1992,4.167623945,23813.71184,1.049630662,0.759518231,74.401
9,France,1993,3.881482946,22380.10396,1.048952457,0.990565041,74.572
9,France,1994,3.652478592,23496.52332,1.048614674,1.522658967,74.743
9,France,1995,3.498526485,26890.21988,1.047554145,2.236359799,74.912
9,France,1996,3.553821612,26871.82902,1.045825733,4.20976597,75.082
9,France,1997,3.560300716,24228.94235,1.048090232,9.899530141,75.25
9,France,1998,3.537208072,24974.2722,1.048284204,18.9889303,75.417
9,France,1999,3.7075089,24673.19897,1.048101215,36.13436735,75.614
9,France,2000,3.960668654,22364.02939,1.042317732,48.73886397,75.871
9,France,2001,4.30149922,22433.55571,1.03952957,61.75367525,76.127
9,France,2002,3.95595145,24177.33517,1.040410014,64.06849532,76.38
9,France,2003,3.812815731,29568.38595,1.041528011,68.87189627,76.632
9,France,2004,3.842327323,33741.26515,1.043872609,73.1589461,76.883
9,France,2005,3.609053554,34760.18777,1.043641694,78.53166302,77.13
