Code,Country,Year,pRate,rate,GDPperCap,MF_ratio,MobilePhones,UrbanPop
4,Denmark,1990,26.5082573109863,9.200844155,26891.44164,1.046908673,2.883032183,84.843
4,Denmark,1991,25.334369276874412,8.996059715,27011.38589,1.044064598,3.413116199,84.871
4,Denmark,1992,25.430899849504502,9.699860863,29569.65453,1.043513076,4.081153984,84.898
4,Denmark,1993,24.806557068604622,9.137091653,27597.97148,1.0455619840000001,6.888976566,84.925
4,Denmark,1994,24.074096392802478,9.20781459,29995.56522,1.04570764,9.661633662,84.952
4,Denmark,1995,23.083922272494984,8.718792457,35351.38071,1.046747435,15.71394063,84.979
4,Denmark,1996,23.297258764824054,8.197783682,35650.72434,1.048499773,25.05474932,85.006
4,Denmark,1997,23.260946622882404,8.687742859,32835.92877,1.043238074,27.36064934,85.033
4,Denmark,1998,22.133681390396372,7.948066222,33368.15485,1.04339493,36.4332626,85.06
4,Denmark,1999,21.370403765734935,7.965977749,33440.80162,1.041690037,49.39302195,85.086
4,Denmark,2000,22.00972893815382,7.851296588,30743.55917,1.039546466,62.97378451,85.1
4,Denmark,2001,21.73897147536908,7.67042754,30751.64946,1.039873061,73.91039895,85.15
4,Denmark,2002,20.348353389824375,6.490922116,33228.69291,1.044618758,83.34111016,85.25
4,Denmark,2003,20.94061350569582,6.035067671,40458.77064,1.048109131,88.4931932,85.36
4,Denmark,2004,21.714476549617682,5.746926508,46511.60457,1.053127761,95.63465791,85.566
4,Denmark,2005,21.7865070743737,5.708078348,48799.82037,1.055056642,100.5072946,85.856
4,Denmark,2006,22.480665841567948,5.991788303,52026.99311,1.0575932,107.0505628,86.098
4,Denmark,2007,22.905429930525926,5.775708909,58487.04501,1.055700249,115.3208334,86.293
4,Denmark,2008,24.030836191951607,6.116828348,64322.06664,1.054903914,119.2657784,86.487
4,Denmark,2009,22.465251589268398,5.525027236,58163.29359,1.052742161,123.654185,86.654
4,Denmark,2010,20.155464961894122,5.065186494,58041.41122,1.052558621,115.5890246,86.795
4,Denmark,2011,18.688197927884865,4.589982665,61753.66007,1.05291438,128.4855486,86.957
4,Denmark,2012,18.208852796522933,4.409241679,58507.50021,1.053785886,129.9803588,87.142
4,Denmark,2013,16.880056419753796,4.231481535,61191.19263,1.053954256,124.714087,87.292
10,England and Wales,1990,68,32.67311158,19095.467,1.045904935,1.948120161,78.14
10,England and Wales,1991,64.1,32.21800813,19900.72665,1.049248042,2.197440097,78.112
10,England and Wales,1992,61.9,30.91135318,20487.17079,1.046766374,2.621118549,78.172
10,England and Wales,1993,59.7,30.39406518,18389.01957,1.040022539,3.934052718,78.232
10,England and Wales,1994,58.7,28.85476576,19709.2381,1.035670454,6.815338962,78.293
10,England and Wales,1995,58.7,28.64709989,23013.45882,1.032155602,9.892982241,78.353
10,England and Wales,1996,63.2,30.02536914,24219.62285,1.029277026,12.46348124,78.413
10,England and Wales,1997,62.6,30.55068211,26621.48006,1.027843751,15.15253492,78.472
10,England and Wales,1998,65.1,31.20187141,28014.8947,1.027747424,25.41295714,78.532
10,England and Wales,1999,63.1,30.93753817,28383.66891,1.029230117,46.27491764,78.591
10,England and Wales,2000,62.5,29.30152667,27982.35576,1.034945877,73.70886336,78.651
10,England and Wales,2001,60.8,28.13577506,27427.5875,1.043018273,78.24769922,78.751
10,England and Wales,2002,60.6,27.3243976,29785.98629,1.050564916,82.94670337,79.047
10,England and Wales,2003,59.9,27.23194542,34173.97998,1.050748334,91.06414709,79.339
10,England and Wales,2004,60.3,27.15150304,39983.98467,1.042161364,99.67234557,79.629
10,England and Wales,2005,60,26.56647056,41732.64054,1.032353407,108.6004149,79.915
10,England and Wales,2006,60.2,26.67870787,44252.31582,1.032786496,115.254437,80.199
10,England and Wales,2007,61.7,26.01252532,50134.3161,1.039134514,120.2257083,80.479
10,England and Wales,2008,60.1,25.77333934,46767.59222,1.039587818,120.7240644,80.757
10,England and Wales,2009,57.3,24.85689815,38262.18213,1.039509792,121.9353861,81.031
10,England and Wales,2010,54.6,23.35572003,38893.01849,1.042881877,121.2030538,81.302
10,England and Wales,2011,48.9,21.10878048,41412.34924,1.046532849,120.9215205,81.57
10,England and Wales,2012,44.2,19.79793278,41790.77914,1.050296956,121.9127668,81.837
10,England and Wales,2013,40.5,17.27391571,42724.06788,1.0541046,121.7088908,82.102
7,Finland,1990,28.084570699530392,12.40824941,28380.54891,1.044599473,5.161339908,79.367
7,Finland,1991,26.02231311249696,12.3887719,25503.21521,1.047616155,6.358419047,79.843
7,Finland,1992,24.544936486584987,11.9217695,22337.48712,1.05204323,7.651669747,80.128
7,Finland,1993,21.76534046497807,10.70612327,17617.03044,1.048248419,9.644999033,80.409
7,Finland,1994,20.83942752312023,10.09606202,20305.58355,1.045605901,13.25391689,80.688
7,Finland,1995,20.78871395167576,9.777022603,26273.4659,1.044595479,20.29937459,80.963
7,Finland,1996,21.091624508150648,9.73693086,25777.6413,1.043082881,29.23903329,81.223
7,Finland,1997,21.085011396387063,9.073282222,24676.49708,1.042835346,41.97749656,81.466
7,Finland,1998,22.398255177204653,9.293309218,25989.4075,1.046048802,55.10944297,81.707
7,Finland,1999,23.805128268667257,9.668006864,26178.79178,1.046060253,63.24342736,81.946
7,Finland,2000,24.807348498859504,9.974724123,24253.25042,1.047999507,71.87081844,82.183
7,Finland,2001,25.96185272661121,10.60674268,24913.24452,1.045978996,80.29235384,82.368
7,Finland,2002,27.231749782365377,11.10191518,26834.02625,1.047133441,86.6381899,82.503
7,Finland,2003,25.575887234082956,10.33451273,32816.16088,1.045243083,90.81753315,82.638
7,Finland,2004,26.322860778759026,10.61083152,37636.11173,1.044763616,95.15116311,82.772
7,Finland,2005,25.35533109155088,10.32938771,38969.17163,1.045283577,100.2105563,82.905
7,Finland,2006,23.80375452736826,9.526603071,41120.67651,1.046510738,107.4358085,83.037
7,Finland,2007,22.8197783975277,9.208311349,48288.5491,1.043585588,114.7599836,83.168
7,Finland,2008,21.502785215277136,8.675407011,53401.31487,1.043024651,128.3858236,83.299
7,Finland,2009,21.459599549063817,8.525818547,47107.15571,1.041325605,144.1233426,83.429
7,Finland,2010,20.55006613716299,8.413744339,46202.41516,1.03980421,156.361179,83.77
7,Finland,2011,20.273240820336486,7.667321626,50790.72415,1.039076507,165.8860374,84.313
7,Finland,2012,18.33868003862086,7.443859594,47415.55987,1.04171053,172.178726,84.841
7,Finland,2013,17.64234671820563,7.24766676,49638.07713,1.038965745,136.3200932,85.125
8,France,1990,23.2836158576359,12.42606261,21690.62912,1.045609148,0.497183723,74.056
8,France,1991,23.977600163155106,12.42989429,21675.06425,1.042915135,0.655162571,74.229
8,France,1992,23.295493041208704,11.91888303,23813.71184,1.043640717,0.759518231,74.401
8,France,1993,22.547078459652752,11.02669414,22380.10396,1.044316555,0.990565041,74.572
8,France,1994,21.762417539774933,10.11512094,23496.52332,1.044267128,1.522658967,74.743
8,France,1995,21.31606261610164,9.650077206,26890.21988,1.04361639,2.236359799,74.912
8,France,1996,22.300473285513178,9.576188242,26871.82902,1.044161695,4.20976597,75.082
8,France,1997,22.211449050347966,9.458652058,24228.94235,1.04479448,9.899530141,75.25
8,France,1998,22.706228599507572,9.457945189,24974.2722,1.044504185,18.9889303,75.417
8,France,1999,24.006786339868498,10.21222632,24673.19897,1.044978456,36.13436735,75.614
8,France,2000,24.326279537768926,11.08327628,22364.02939,1.0401195,48.73886397,75.871
8,France,2001,25.435537378153292,11.53120257,22433.55571,1.037934019,61.75367525,76.127
8,France,2002,24.751640523380715,10.90689677,24177.33517,1.03694753,64.06849532,76.38
8,France,2003,24.446109828487447,10.58312183,29568.38595,1.037197534,68.87189627,76.632
8,France,2004,25.457947576478812,10.58854373,33741.26515,1.039647665,73.1589461,76.883
8,France,2005,25.48677545567714,10.32913958,34760.18777,1.039713059,78.53166302,77.13
8,France,2006,26.03846321692913,10.26051144,36443.62344,1.040762952,83.87657249,77.377
8,France,2007,25.71966317626706,10.09989788,41508.43269,1.045640824,89.34353008,77.621
8,France,2008,25.427422976018082,10.15593222,45334.11091,1.04546816,93.00882838,77.868
8,France,2009,25.109312372438364,9.921736895,41575.41618,1.045262886,92.39159417,78.117
8,France,2010,25.561279293381865,9.832687978,40638.334,1.046863582,91.68330775,78.369
8,France,2011,24.000709817665587,9.528553859,43790.7354,1.047836793,94.43104231,78.622
8,France,2012,24.23041838112139,9.565736473,40874.71596,1.047916978,97.83174772,78.878
8,France,2013,23.13918786200839,9.034142449,42592.95152,1.048105097,99.06771312,79.135
3,Germany,1990,30.2635921336887,19.37933928,22219.57253,1.051216202,0.344558605,73.118
3,Germany,1991,26.5763038425194,18.32929262,23269.3818,1.051787607,0.668955763,73.269
3,Germany,1992,24.83133475509115,16.88178994,26333.53744,1.050693783,1.214161974,73.36
3,Germany,1993,23.195642030469177,15.16995027,25488.51952,1.054595,2.203646375,73.497
3,Germany,1994,21.14851177254554,13.73600375,27087.55845,1.054799842,3.077311214,73.71
3,Germany,1995,19.915574532292265,12.96288896,31729.69976,1.053076,4.585145625,73.922
3,Germany,1996,18.576361602308953,13.14063846,30564.24781,1.050666746,6.769308559,74.133
3,Germany,1997,18.813970996080275,13.04920814,27045.71913,1.049332684,10.15461792,74.342
3,Germany,1998,19.196327516866628,13.12611876,27340.67288,1.048506059,17.07132651,74.551
3,Germany,1999,19.785977348839545,13.34873638,26795.99113,1.048539494,28.77459027,74.758
3,Germany,2000,20.66942256987524,13.69236128,23718.7467,1.047821491,59.15244421,74.965
3,Germany,2001,21.526604428846536,13.76881712,23687.31689,1.047204025,68.83597997,75.17
3,Germany,2002,20.615973432271574,13.0888408,25205.16445,1.048740988,72.45024706,75.374
3,Germany,2003,19.75907066917103,12.31537967,30359.95215,1.048595549,79.32767834,75.577
3,Germany,2004,19.344726915426886,11.6060568,34165.93403,1.048831468,87.280701,75.779
3,Germany,2005,18.383364628875423,11.20150814,34696.62092,1.047646095,97.06110232,75.98
3,Germany,2006,17.485786024194965,10.66004417,36447.87232,1.047701756,105.042469,76.179
3,Germany,2007,17.023144959422776,10.42218985,41814.8191,1.047771379,118.3029902,76.378
3,Germany,2008,16.37626588325752,10.15329515,45699.19832,1.046531106,130.0651266,76.575
3,Germany,2009,15.475843297365607,9.454894527,41732.70725,1.047077716,129.6846864,76.771
3,Germany,2010,15.029367786891196,9.250654472,41785.55691,1.048757591,109.2777489,76.966
3,Germany,2011,14.084742631606234,8.591512146,46810.32796,1.049919285,112.3137649,77.16
3,Germany,2012,13.72247069713984,8.37874574,44065.24891,1.052076992,113.9808799,77.17
3,Germany,2013,12.923380953713195,8.046213048,46530.91143,1.054079694,123.0958333,77.18
12,Iceland,1990,46.60439774275151,30.64798599,25008.84946,1.050690796,3.924828362,90.75
12,Iceland,1991,41.62670247458277,28.58239018,26405.91589,1.045271437,5.003027668,90.932
12,Iceland,1992,40.90736522399393,26.86028853,26722.44119,1.040242976,5.86236455,91.112
12,Iceland,1993,39.2578125,23.2421875,23230.4718,1.039355469,6.628061038,91.287
12,Iceland,1994,39.338089575901705,23.58303607,23662.80668,1.032996433,8.239105673,91.46
12,Iceland,1995,38.656280428432325,23.17429406,26239.0273,1.033495618,11.53948189,91.63
12,Iceland,1996,39.599190673475285,21.58204066,27261.17166,1.038057616,17.32555987,91.797
12,Iceland,1997,44.88467795961336,24.30854627,27842.61347,1.039621016,23.96987265,91.96
12,Iceland,1998,49.56268221574344,24.82836453,30847.6437,1.052101947,37.87922818,92.121
12,Iceland,1999,45.28934861615879,24.32205759,32148.15015,1.051439754,62.12041602,92.267
12,Iceland,2000,47.951012717852095,22.98634008,31746.02314,1.047479981,76.62952199,92.401
12,Iceland,2001,41.19277453885119,19.87957565,28551.78527,1.02446717,87.70762123,92.532
12,Iceland,2002,38.46904901386448,18.55106425,32024.1856,1.020894357,91.27638621,92.662
12,Iceland,2003,35.71781933313545,16.52320174,39086.77319,1.027505689,97.12382619,92.789
12,Iceland,2004,33.14430973797419,12.8079781,46984.06654,1.046538913,99.64411344,92.914
12,Iceland,2005,30.36980264418471,14.46637287,56250.68281,1.042249473,95.97564572,93.037
12,Iceland,2006,29.764098783634353,13.8223369,56121.32242,1.058422411,100.731997,93.159
12,Iceland,2007,32.92365658921683,14.35363775,68428.34821,1.064860501,106.8473132,93.278
12,Iceland,2008,29.850746268656717,14.57827143,55632.10432,1.055275946,108.3754712,93.395
12,Iceland,2009,26.545641376948108,14.55728721,40640.9902,1.044528173,107.4754972,93.511
12,Iceland,2010,28.664887664629422,12.91211156,41851.73548,1.04863562,106.4774231,93.574
12,Iceland,2011,26.527544433636926,10.96471837,46181.95294,1.055973119,106.3901824,93.587
12,Iceland,2012,25.024316915730832,11.31841896,44562.81802,1.050313909,108.167704,93.6
12,Iceland,2013,20.241093918675784,7.286793811,48023.62691,1.051367398,108.9395742,93.633
13,Italy,1990,14.52523816613129,8.967367285,20757.08868,1.042673658,0.465628234,66.726
13,Italy,1991,13.851297521877827,8.394799214,21884.10437,1.041024328,0.993832013,66.706
13,Italy,1992,13.312217128755355,7.610066156,23166.80406,1.03759221,1.369147121,66.742
13,Italy,1993,13.637797917242818,7.762192109,18676.95258,1.037184465,2.109463097,66.802
13,Italy,1994,12.816373503722351,7.179986724,19273.84417,1.037837849,3.912570332,66.862
13,Italy,1995,12.768639674628709,6.732379889,20596.38858,1.038553387,6.851780239,66.922
13,Italy,1996,13.425745194306115,6.737526038,23020.09994,1.039945483,11.22145209,66.982
13,Italy,1997,13.420739746488833,6.567254594,21779.62437,1.040910842,20.52622947,67.042
13,Italy,1998,13.068343159591949,6.049496819,22252.35809,1.042419892,35.84903924,67.102
13,Italy,1999,14.309539380264663,6.869640889,21936.82313,1.044600309,52.98357088,67.162
13,Italy,2000,14.232721936903891,6.849276329,20051.24215,1.046631761,73.73582875,67.222
13,Italy,2001,13.874600703563548,6.608611689,20400.81111,1.047753849,89.11361067,67.282
13,Italy,2002,13.781739217418849,6.415517692,22196.50675,1.050516684,93.76876619,67.382
13,Italy,2003,14.03334978193715,6.916713968,27387.22632,1.052697326,97.63180194,67.501
13,Italy,2004,15.178740158872888,7.158357171,31174.56109,1.054874481,107.2746688,67.62
13,Italy,2005,14.53548066510468,6.948493038,31959.26295,1.055700365,121.5810991,67.738
13,Italy,2006,14.530947914336036,6.830542313,33410.74744,1.057684199,136.1174311,67.856
13,Italy,2007,14.575505443212185,6.808465542,37698.78665,1.059268788,151.4005806,67.974
13,Italy,2008,14.327190677394107,7.130022543,40640.18386,1.059630881,151.8275276,68.092
13,Italy,2009,13.735017876863544,6.859637085,36976.84553,1.059941385,150.9558833,68.209
