"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2016","Total","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2017","11855248","1,2"
"Australia","2016","Total","Female","Total","Estimate - de jure","Final figure, complete","2017","12137904","3"
"Australia","2016","Total","Female","0","Census - de jure - complete tabulation","Final figure, complete","2017","134594","1,2"
"Australia","2016","Total","Female","0","Estimate - de jure","Final figure, complete","2017","153122","3"
"Australia","2016","Total","Female","0 - 4","Census - de jure - complete tabulation","Final figure, complete","2017","712638","1,2"
"Australia","2016","Total","Female","0 - 4","Estimate - de jure","Final figure, complete","2017","761628","3"
"Australia","2016","Total","Female","1","Census - de jure - complete tabulation","Final figure, complete","2017","142482","1,2"
"Australia","2016","Total","Female","1","Estimate - de jure","Final figure, complete","2017","150047","3"
"Australia","2016","Total","Female","1 - 4","Estimate - de jure","Final figure, complete","2017","608506","3"
"Australia","2016","Total","Female","2","Census - de jure - complete tabulation","Final figure, complete","2017","143914","1,2"
"Australia","2016","Total","Female","2","Estimate - de jure","Final figure, complete","2017","150789","3"
"Australia","2016","Total","Female","3","Census - de jure - complete tabulation","Final figure, complete","2017","145528","1,2"
"Australia","2016","Total","Female","3","Estimate - de jure","Final figure, complete","2017","154152","3"
"Australia","2016","Total","Female","4","Census - de jure - complete tabulation","Final figure, complete","2017","146114","1,2"
"Australia","2016","Total","Female","4","Estimate - de jure","Final figure, complete","2017","153518","3"
"Australia","2016","Total","Female","5","Census - de jure - complete tabulation","Final figure, complete","2017","145191","1,2"
"Australia","2016","Total","Female","5","Estimate - de jure","Final figure, complete","2017","148742","3"
"Australia","2016","Total","Female","5 - 9","Census - de jure - complete tabulation","Final figure, complete","2017","731592","1,2"
"Australia","2016","Total","Female","5 - 9","Estimate - de jure","Final figure, complete","2017","744665","3"
"Australia","2016","Total","Female","6","Census - de jure - complete tabulation","Final figure, complete","2017","147795","1,2"
"Australia","2016","Total","Female","6","Estimate - de jure","Final figure, complete","2017","150871","3"
"Australia","2016","Total","Female","7","Census - de jure - complete tabulation","Final figure, complete","2017","145564","1,2"
"Australia","2016","Total","Female","7","Estimate - de jure","Final figure, complete","2017","149686","3"
"Australia","2016","Total","Female","8","Census - de jure - complete tabulation","Final figure, complete","2017","146881","1,2"
"Australia","2016","Total","Female","8","Estimate - de jure","Final figure, complete","2017","149031","3"
"Australia","2016","Total","Female","9","Census - de jure - complete tabulation","Final figure, complete","2017","146165","1,2"
"Australia","2016","Total","Female","9","Estimate - de jure","Final figure, complete","2017","146335","3"
"Australia","2016","Total","Female","10","Census - de jure - complete tabulation","Final figure, complete","2017","141986","1,2"
"Australia","2016","Total","Female","10","Estimate - de jure","Final figure, complete","2017","146156","3"
"Australia","2016","Total","Female","10 - 14","Census - de jure - complete tabulation","Final figure, complete","2017","679553","1,2"
"Australia","2016","Total","Female","10 - 14","Estimate - de jure","Final figure, complete","2017","701874","3"
"Australia","2016","Total","Female","11","Census - de jure - complete tabulation","Final figure, complete","2017","136153","1,2"
"Australia","2016","Total","Female","11","Estimate - de jure","Final figure, complete","2017","141334","3"
"Australia","2016","Total","Female","12","Census - de jure - complete tabulation","Final figure, complete","2017","134511","1,2"
"Australia","2016","Total","Female","12","Estimate - de jure","Final figure, complete","2017","138899","3"
"Australia","2016","Total","Female","13","Census - de jure - complete tabulation","Final figure, complete","2017","133753","1,2"
"Australia","2016","Total","Female","13","Estimate - de jure","Final figure, complete","2017","138000","3"
"Australia","2016","Total","Female","14","Census - de jure - complete tabulation","Final figure, complete","2017","133147","1,2"
"Australia","2016","Total","Female","14","Estimate - de jure","Final figure, complete","2017","137485","3"
"Australia","2016","Total","Female","15","Census - de jure - complete tabulation","Final figure, complete","2017","135431","1,2"
"Australia","2016","Total","Female","15","Estimate - de jure","Final figure, complete","2017","140225","3"
"Australia","2016","Total","Female","15 - 19","Census - de jure - complete tabulation","Final figure, complete","2017","693915","1,2"
"Australia","2016","Total","Female","15 - 19","Estimate - de jure","Final figure, complete","2017","724028","3"
"Australia","2016","Total","Female","16","Census - de jure - complete tabulation","Final figure, complete","2017","137931","1,2"
"Australia","2016","Total","Female","16","Estimate - de jure","Final figure, complete","2017","142134","3"
"Australia","2016","Total","Female","17","Census - de jure - complete tabulation","Final figure, complete","2017","137845","1,2"
"Australia","2016","Total","Female","17","Estimate - de jure","Final figure, complete","2017","143272","3"
"Australia","2016","Total","Female","18","Census - de jure - complete tabulation","Final figure, complete","2017","138592","1,2"
"Australia","2016","Total","Female","18","Estimate - de jure","Final figure, complete","2017","145658","3"
"Australia","2016","Total","Female","19","Census - de jure - complete tabulation","Final figure, complete","2017","144118","1,2"
"Australia","2016","Total","Female","19","Estimate - de jure","Final figure, complete","2017","152739","3"
"Australia","2016","Total","Female","20","Census - de jure - complete tabulation","Final figure, complete","2017","147871","1,2"
"Australia","2016","Total","Female","20","Estimate - de jure","Final figure, complete","2017","155627","3"
"Australia","2016","Total","Female","20 - 24","Census - de jure - complete tabulation","Final figure, complete","2017","771369","1,2"
"Australia","2016","Total","Female","20 - 24","Estimate - de jure","Final figure, complete","2017","816639","3"
"Australia","2016","Total","Female","21","Census - de jure - complete tabulation","Final figure, complete","2017","152029","1,2"
"Australia","2016","Total","Female","21","Estimate - de jure","Final figure, complete","2017","160432","3"
"Australia","2016","Total","Female","22","Census - de jure - complete tabulation","Final figure, complete","2017","152924","1,2"
"Australia","2016","Total","Female","22","Estimate - de jure","Final figure, complete","2017","161885","3"
"Australia","2016","Total","Female","23","Census - de jure - complete tabulation","Final figure, complete","2017","157980","1,2"
"Australia","2016","Total","Female","23","Estimate - de jure","Final figure, complete","2017","167073","3"
"Australia","2016","Total","Female","24","Census - de jure - complete tabulation","Final figure, complete","2017","160563","1,2"
"Australia","2016","Total","Female","24","Estimate - de jure","Final figure, complete","2017","171622","3"
"Australia","2016","Total","Female","25","Census - de jure - complete tabulation","Final figure, complete","2017","164792","1,2"
"Australia","2016","Total","Female","25","Estimate - de jure","Final figure, complete","2017","174963","3"
"Australia","2016","Total","Female","25 - 29","Census - de jure - complete tabulation","Final figure, complete","2017","840525","1,2"
"Australia","2016","Total","Female","25 - 29","Estimate - de jure","Final figure, complete","2017","887711","3"
