"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Croatia","2016","Total","Female","Total","Estimate - de jure","Final figure, complete","2017","2167872",""
"Croatia","2016","Total","Female","Total","Estimate - de jure","Final figure, complete","2017","2159512",""
"Croatia","2016","Total","Female","0","Estimate - de jure","Final figure, complete","2017","18017",""
"Croatia","2016","Total","Female","0","Estimate - de jure","Final figure, complete","2017","17918",""
"Croatia","2016","Total","Female","0 - 4","Estimate - de jure","Final figure, complete","2017","95968",""
"Croatia","2016","Total","Female","0 - 4","Estimate - de jure","Final figure, complete","2017","94971",""
"Croatia","2016","Total","Female","1","Estimate - de jure","Final figure, complete","2017","19076",""
"Croatia","2016","Total","Female","1","Estimate - de jure","Final figure, complete","2017","18622",""
"Croatia","2016","Total","Female","1 - 4","Estimate - de jure","Final figure, complete","2017","77951",""
"Croatia","2016","Total","Female","1 - 4","Estimate - de jure","Final figure, complete","2017","77053",""
"Croatia","2016","Total","Female","2","Estimate - de jure","Final figure, complete","2017","19164",""
"Croatia","2016","Total","Female","2","Estimate - de jure","Final figure, complete","2017","19078",""
"Croatia","2016","Total","Female","3","Estimate - de jure","Final figure, complete","2017","19988",""
"Croatia","2016","Total","Female","3","Estimate - de jure","Final figure, complete","2017","19230",""
"Croatia","2016","Total","Female","4","Estimate - de jure","Final figure, complete","2017","20037",""
"Croatia","2016","Total","Female","4","Estimate - de jure","Final figure, complete","2017","19809",""
"Croatia","2016","Total","Female","5","Estimate - de jure","Final figure, complete","2017","20852",""
"Croatia","2016","Total","Female","5","Estimate - de jure","Final figure, complete","2017","20012",""
"Croatia","2016","Total","Female","5 - 9","Estimate - de jure","Final figure, complete","2017","101917",""
"Croatia","2016","Total","Female","5 - 9","Estimate - de jure","Final figure, complete","2017","102575",""
"Croatia","2016","Total","Female","6","Estimate - de jure","Final figure, complete","2017","21393",""
"Croatia","2016","Total","Female","6","Estimate - de jure","Final figure, complete","2017","21300",""
"Croatia","2016","Total","Female","7","Estimate - de jure","Final figure, complete","2017","20770",""
"Croatia","2016","Total","Female","7","Estimate - de jure","Final figure, complete","2017","20750",""
"Croatia","2016","Total","Female","8","Estimate - de jure","Final figure, complete","2017","19911",""
"Croatia","2016","Total","Female","8","Estimate - de jure","Final figure, complete","2017","20567",""
"Croatia","2016","Total","Female","9","Estimate - de jure","Final figure, complete","2017","19268",""
"Croatia","2016","Total","Female","9","Estimate - de jure","Final figure, complete","2017","19669",""
"Croatia","2016","Total","Female","10","Estimate - de jure","Final figure, complete","2017","20454",""
"Croatia","2016","Total","Female","10","Estimate - de jure","Final figure, complete","2017","19913",""
"Croatia","2016","Total","Female","10 - 14","Estimate - de jure","Final figure, complete","2017","98397",""
"Croatia","2016","Total","Female","10 - 14","Estimate - de jure","Final figure, complete","2017","98119",""
"Croatia","2016","Total","Female","11","Estimate - de jure","Final figure, complete","2017","19321",""
"Croatia","2016","Total","Female","11","Estimate - de jure","Final figure, complete","2017","20398",""
"Croatia","2016","Total","Female","12","Estimate - de jure","Final figure, complete","2017","19034",""
"Croatia","2016","Total","Female","12","Estimate - de jure","Final figure, complete","2017","19222",""
"Croatia","2016","Total","Female","13","Estimate - de jure","Final figure, complete","2017","19516",""
"Croatia","2016","Total","Female","13","Estimate - de jure","Final figure, complete","2017","19111",""
"Croatia","2016","Total","Female","14","Estimate - de jure","Final figure, complete","2017","19663",""
"Croatia","2016","Total","Female","14","Estimate - de jure","Final figure, complete","2017","19884",""
"Croatia","2016","Total","Female","15","Estimate - de jure","Final figure, complete","2017","21022",""
"Croatia","2016","Total","Female","15","Estimate - de jure","Final figure, complete","2017","20425",""
"Croatia","2016","Total","Female","15 - 19","Estimate - de jure","Final figure, complete","2017","112553",""
"Croatia","2016","Total","Female","15 - 19","Estimate - de jure","Final figure, complete","2017","114878",""
"Croatia","2016","Total","Female","16","Estimate - de jure","Final figure, complete","2017","21836",""
"Croatia","2016","Total","Female","16","Estimate - de jure","Final figure, complete","2017","21585",""
"Croatia","2016","Total","Female","17","Estimate - de jure","Final figure, complete","2017","22119",""
"Croatia","2016","Total","Female","17","Estimate - de jure","Final figure, complete","2017","23130",""
"Croatia","2016","Total","Female","18","Estimate - de jure","Final figure, complete","2017","24292",""
"Croatia","2016","Total","Female","18","Estimate - de jure","Final figure, complete","2017","23706",""
"Croatia","2016","Total","Female","19","Estimate - de jure","Final figure, complete","2017","24718",""
"Croatia","2016","Total","Female","19","Estimate - de jure","Final figure, complete","2017","24598",""
"Croatia","2016","Total","Female","20","Estimate - de jure","Final figure, complete","2017","23805",""
"Croatia","2016","Total","Female","20","Estimate - de jure","Final figure, complete","2017","24258",""
"Croatia","2016","Total","Female","20 - 24","Estimate - de jure","Final figure, complete","2017","119102",""
"Croatia","2016","Total","Female","20 - 24","Estimate - de jure","Final figure, complete","2017","118485",""
"Croatia","2016","Total","Female","21","Estimate - de jure","Final figure, complete","2017","23804",""
"Croatia","2016","Total","Female","21","Estimate - de jure","Final figure, complete","2017","23573",""
"Croatia","2016","Total","Female","22","Estimate - de jure","Final figure, complete","2017","23488",""
"Croatia","2016","Total","Female","22","Estimate - de jure","Final figure, complete","2017","23669",""
"Croatia","2016","Total","Female","23","Estimate - de jure","Final figure, complete","2017","22974",""
"Croatia","2016","Total","Female","23","Estimate - de jure","Final figure, complete","2017","23674",""
"Croatia","2016","Total","Female","24","Estimate - de jure","Final figure, complete","2017","23492",""
"Croatia","2016","Total","Female","24","Estimate - de jure","Final figure, complete","2017","24850",""
"Croatia","2016","Total","Female","25","Estimate - de jure","Final figure, complete","2017","24918",""
"Croatia","2016","Total","Female","25","Estimate - de jure","Final figure, complete","2017","24842",""
"Croatia","2016","Total","Female","25 - 29","Estimate - de jure","Final figure, complete","2017","126367",""
"Croatia","2016","Total","Female","25 - 29","Estimate - de jure","Final figure, complete","2017","127936",""
"Croatia","2016","Total","Female","26","Estimate - de jure","Final figure, complete","2017","24884",""
