"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"France","2016","Total","Female","Total","Estimate - de jure","Provisional figure","2017","33292921","1"
"France","2016","Total","Female","Total","Estimate - de jure","Provisional figure","2017","32342665.5","1,2,3"
"France","2016","Total","Female","0 - 4","Estimate - de jure","Provisional figure","2017","1872743.5","1,2,3"
"France","2016","Total","Female","0 - 4","Estimate - de jure","Provisional figure","2017","1849403","1"
"France","2016","Total","Female","5 - 9","Estimate - de jure","Provisional figure","2017","1964673","1"
"France","2016","Total","Female","5 - 9","Estimate - de jure","Provisional figure","2017","2008051","1,2,3"
"France","2016","Total","Female","10 - 14","Estimate - de jure","Provisional figure","2017","1994581","1,2,3"
"France","2016","Total","Female","10 - 14","Estimate - de jure","Provisional figure","2017","1942654","1"
"France","2016","Total","Female","15 - 19","Estimate - de jure","Provisional figure","2017","1904025","1"
"France","2016","Total","Female","15 - 19","Estimate - de jure","Provisional figure","2017","1968099.5","1,2,3"
"France","2016","Total","Female","20 - 24","Estimate - de jure","Provisional figure","2017","1831112","1,2,3"
"France","2016","Total","Female","20 - 24","Estimate - de jure","Provisional figure","2017","1813178","1"
"France","2016","Total","Female","25 - 29","Estimate - de jure","Provisional figure","2017","1942511","1"
"France","2016","Total","Female","25 - 29","Estimate - de jure","Provisional figure","2017","1911359","1,2,3"
"France","2016","Total","Female","30 - 34","Estimate - de jure","Provisional figure","2017","1984410.5","1,2,3"
"France","2016","Total","Female","30 - 34","Estimate - de jure","Provisional figure","2017","2029089","1"
"France","2016","Total","Female","35 - 39","Estimate - de jure","Provisional figure","2017","2016656","1"
"France","2016","Total","Female","35 - 39","Estimate - de jure","Provisional figure","2017","2008270.5","1,2,3"
"France","2016","Total","Female","40 - 44","Estimate - de jure","Provisional figure","2017","2126273","1,2,3"
"France","2016","Total","Female","40 - 44","Estimate - de jure","Provisional figure","2017","2171931","1"
"France","2016","Total","Female","45 - 49","Estimate - de jure","Provisional figure","2017","2200258","1"
"France","2016","Total","Female","45 - 49","Estimate - de jure","Provisional figure","2017","2181913.5","1,2,3"
"France","2016","Total","Female","50 - 54","Estimate - de jure","Provisional figure","2017","2179340","1,2,3"
"France","2016","Total","Female","50 - 54","Estimate - de jure","Provisional figure","2017","2214524","1"
"France","2016","Total","Female","55 - 59","Estimate - de jure","Provisional figure","2017","2133721","1"
"France","2016","Total","Female","55 - 59","Estimate - de jure","Provisional figure","2017","2075145.5","1,2,3"
"France","2016","Total","Female","60 - 64","Estimate - de jure","Provisional figure","2017","1975615.5","1,2,3"
"France","2016","Total","Female","60 - 64","Estimate - de jure","Provisional figure","2017","2060412","1"
"France","2016","Total","Female","65 - 69","Estimate - de jure","Provisional figure","2017","2029667","1"
"France","2016","Total","Female","65 - 69","Estimate - de jure","Provisional figure","2017","1931568.5","1,2,3"
"France","2016","Total","Female","70 - 74","Estimate - de jure","Provisional figure","2017","1292346","1,2,3"
"France","2016","Total","Female","70 - 74","Estimate - de jure","Provisional figure","2017","1319210","1"
"France","2016","Total","Female","75 - 79","Estimate - de jure","Provisional figure","2017","1210163","1"
"France","2016","Total","Female","75 - 79","Estimate - de jure","Provisional figure","2017","1065855","1,2,3"
"France","2016","Total","Female","80 - 84","Estimate - de jure","Provisional figure","2017","927051","1,2,3"
"France","2016","Total","Female","80 - 84","Estimate - de jure","Provisional figure","2017","1119657","1"
"France","2016","Total","Female","85 - 89","Estimate - de jure","Provisional figure","2017","824927","1"
"France","2016","Total","Female","85 - 89","Estimate - de jure","Provisional figure","2017","633160","1,2,3"
"France","2016","Total","Female","90 - 94","Estimate - de jure","Provisional figure","2017","301670.5","1,2,3"
"France","2016","Total","Female","90 - 94","Estimate - de jure","Provisional figure","2017","433165","1"
"France","2016","Total","Female","95 +","Estimate - de jure","Provisional figure","2017","113097","1"
"France","2016","Total","Female","95 +","Estimate - de jure","Provisional figure","2017","74100","1,2,3"
"France","2015","Total","Female","Total","Estimate - de jure","Final figure, complete","2015","33229923","1"
"France","2015","Total","Female","0","Estimate - de jure","Final figure, complete","2015","358397","1"
"France","2015","Total","Female","0 - 4","Estimate - de jure","Final figure, complete","2015","1855372","1"
"France","2015","Total","Female","1","Estimate - de jure","Final figure, complete","2015","369044","1"
"France","2015","Total","Female","1 - 4","Estimate - de jure","Final figure, complete","2015","1496975","1"
"France","2015","Total","Female","2","Estimate - de jure","Final figure, complete","2015","370305","1"
"France","2015","Total","Female","3","Estimate - de jure","Final figure, complete","2015","374957","1"
"France","2015","Total","Female","4","Estimate - de jure","Final figure, complete","2015","382669","1"
"France","2015","Total","Female","5","Estimate - de jure","Final figure, complete","2015","391063","1"
"France","2015","Total","Female","5 - 9","Estimate - de jure","Final figure, complete","2015","1960489","1"
"France","2015","Total","Female","6","Estimate - de jure","Final figure, complete","2015","389825","1"
"France","2015","Total","Female","7","Estimate - de jure","Final figure, complete","2015","392278","1"
"France","2015","Total","Female","8","Estimate - de jure","Final figure, complete","2015","390713","1"
"France","2015","Total","Female","9","Estimate - de jure","Final figure, complete","2015","396610","1"
"France","2015","Total","Female","10","Estimate - de jure","Final figure, complete","2015","388589","1"
"France","2015","Total","Female","10 - 14","Estimate - de jure","Final figure, complete","2015","1939082","1"
"France","2015","Total","Female","11","Estimate - de jure","Final figure, complete","2015","386924","1"
"France","2015","Total","Female","12","Estimate - de jure","Final figure, complete","2015","384382","1"
"France","2015","Total","Female","13","Estimate - de jure","Final figure, complete","2015","386032","1"
"France","2015","Total","Female","14","Estimate - de jure","Final figure, complete","2015","393155","1"
"France","2015","Total","Female","15","Estimate - de jure","Final figure, complete","2015","401263","1"
"France","2015","Total","Female","15 - 19","Estimate - de jure","Final figure, complete","2015","1906973","1"
"France","2015","Total","Female","16","Estimate - de jure","Final figure, complete","2015","382722","1"
"France","2015","Total","Female","17","Estimate - de jure","Final figure, complete","2015","381673","1"
"France","2015","Total","Female","18","Estimate - de jure","Final figure, complete","2015","370414","1"
