"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Italy","2016","Total","Female","Total","Estimate - de jure","Final figure, complete","2017","31209230",""
"Italy","2016","Total","Female","Total","Estimate - de jure","Final figure, complete","2017","31176467",""
"Italy","2016","Total","Female","0","Estimate - de jure","Final figure, complete","2017","232955",""
"Italy","2016","Total","Female","0","Estimate - de jure","Final figure, complete","2017","230256",""
"Italy","2016","Total","Female","0 - 4","Estimate - de jure","Final figure, complete","2017","1250442",""
"Italy","2016","Total","Female","0 - 4","Estimate - de jure","Final figure, complete","2017","1233128.5",""
"Italy","2016","Total","Female","1","Estimate - de jure","Final figure, complete","2017","239671",""
"Italy","2016","Total","Female","1","Estimate - de jure","Final figure, complete","2017","243570",""
"Italy","2016","Total","Female","1 - 4","Estimate - de jure","Final figure, complete","2017","1017487",""
"Italy","2016","Total","Female","1 - 4","Estimate - de jure","Final figure, complete","2017","1002872.5",""
"Italy","2016","Total","Female","2","Estimate - de jure","Final figure, complete","2017","248741",""
"Italy","2016","Total","Female","2","Estimate - de jure","Final figure, complete","2017","246291.5",""
"Italy","2016","Total","Female","3","Estimate - de jure","Final figure, complete","2017","254373.5",""
"Italy","2016","Total","Female","3","Estimate - de jure","Final figure, complete","2017","259955",""
"Italy","2016","Total","Female","4","Estimate - de jure","Final figure, complete","2017","265221",""
"Italy","2016","Total","Female","4","Estimate - de jure","Final figure, complete","2017","262536.5",""
"Italy","2016","Total","Female","5","Estimate - de jure","Final figure, complete","2017","268449.5",""
"Italy","2016","Total","Female","5","Estimate - de jure","Final figure, complete","2017","272107",""
"Italy","2016","Total","Female","5 - 9","Estimate - de jure","Final figure, complete","2017","1378175.5",""
"Italy","2016","Total","Female","5 - 9","Estimate - de jure","Final figure, complete","2017","1385255",""
"Italy","2016","Total","Female","6","Estimate - de jure","Final figure, complete","2017","276604",""
"Italy","2016","Total","Female","6","Estimate - de jure","Final figure, complete","2017","274211",""
"Italy","2016","Total","Female","7","Estimate - de jure","Final figure, complete","2017","278280.5",""
"Italy","2016","Total","Female","7","Estimate - de jure","Final figure, complete","2017","280244",""
"Italy","2016","Total","Female","8","Estimate - de jure","Final figure, complete","2017","278398",""
"Italy","2016","Total","Female","8","Estimate - de jure","Final figure, complete","2017","279175.5",""
"Italy","2016","Total","Female","9","Estimate - de jure","Final figure, complete","2017","278059",""
