"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Norway","2016","Total","Female","Total","Estimate - de jure","Final figure, complete","2017","2587096","1"
"Norway","2016","Total","Female","0","Estimate - de jure","Final figure, complete","2017","28791","1"
"Norway","2016","Total","Female","0 - 4","Estimate - de jure","Final figure, complete","2017","148521","1"
"Norway","2016","Total","Female","1","Estimate - de jure","Final figure, complete","2017","29166","1"
"Norway","2016","Total","Female","1 - 4","Estimate - de jure","Final figure, complete","2017","119730","1"
"Norway","2016","Total","Female","2","Estimate - de jure","Final figure, complete","2017","29612","1"
"Norway","2016","Total","Female","3","Estimate - de jure","Final figure, complete","2017","30392","1"
"Norway","2016","Total","Female","4","Estimate - de jure","Final figure, complete","2017","30560","1"
"Norway","2016","Total","Female","5","Estimate - de jure","Final figure, complete","2017","31561","1"
"Norway","2016","Total","Female","5 - 9","Estimate - de jure","Final figure, complete","2017","156425","1"
"Norway","2016","Total","Female","6","Estimate - de jure","Final figure, complete","2017","31962","1"
"Norway","2016","Total","Female","7","Estimate - de jure","Final figure, complete","2017","31315","1"
"Norway","2016","Total","Female","8","Estimate - de jure","Final figure, complete","2017","30712","1"
"Norway","2016","Total","Female","9","Estimate - de jure","Final figure, complete","2017","30875","1"
"Norway","2016","Total","Female","10","Estimate - de jure","Final figure, complete","2017","30246","1"
"Norway","2016","Total","Female","10 - 14","Estimate - de jure","Final figure, complete","2017","150474","1"
"Norway","2016","Total","Female","11","Estimate - de jure","Final figure, complete","2017","30311","1"
"Norway","2016","Total","Female","12","Estimate - de jure","Final figure, complete","2017","30144","1"
"Norway","2016","Total","Female","13","Estimate - de jure","Final figure, complete","2017","29647","1"
"Norway","2016","Total","Female","14","Estimate - de jure","Final figure, complete","2017","30126","1"
"Norway","2016","Total","Female","15","Estimate - de jure","Final figure, complete","2017","31311","1"
"Norway","2016","Total","Female","15 - 19","Estimate - de jure","Final figure, complete","2017","158282","1"
"Norway","2016","Total","Female","16","Estimate - de jure","Final figure, complete","2017","31367","1"
"Norway","2016","Total","Female","17","Estimate - de jure","Final figure, complete","2017","31201","1"
"Norway","2016","Total","Female","18","Estimate - de jure","Final figure, complete","2017","31880","1"
"Norway","2016","Total","Female","19","Estimate - de jure","Final figure, complete","2017","32523","1"
"Norway","2016","Total","Female","20","Estimate - de jure","Final figure, complete","2017","32222","1"
"Norway","2016","Total","Female","20 - 24","Estimate - de jure","Final figure, complete","2017","165618","1"
"Norway","2016","Total","Female","21","Estimate - de jure","Final figure, complete","2017","32447","1"
"Norway","2016","Total","Female","22","Estimate - de jure","Final figure, complete","2017","32797","1"
"Norway","2016","Total","Female","23","Estimate - de jure","Final figure, complete","2017","33445","1"
"Norway","2016","Total","Female","24","Estimate - de jure","Final figure, complete","2017","34707","1"
"Norway","2016","Total","Female","25","Estimate - de jure","Final figure, complete","2017","35986","1"
"Norway","2016","Total","Female","25 - 29","Estimate - de jure","Final figure, complete","2017","177828","1"
"Norway","2016","Total","Female","26","Estimate - de jure","Final figure, complete","2017","35890","1"
"Norway","2016","Total","Female","27","Estimate - de jure","Final figure, complete","2017","36081","1"
"Norway","2016","Total","Female","28","Estimate - de jure","Final figure, complete","2017","35156","1"
"Norway","2016","Total","Female","29","Estimate - de jure","Final figure, complete","2017","34715","1"
"Norway","2016","Total","Female","30","Estimate - de jure","Final figure, complete","2017","34298","1"
"Norway","2016","Total","Female","30 - 34","Estimate - de jure","Final figure, complete","2017","169699","1"
"Norway","2016","Total","Female","31","Estimate - de jure","Final figure, complete","2017","34210","1"
"Norway","2016","Total","Female","32","Estimate - de jure","Final figure, complete","2017","33538","1"
"Norway","2016","Total","Female","33","Estimate - de jure","Final figure, complete","2017","34060","1"
"Norway","2016","Total","Female","34","Estimate - de jure","Final figure, complete","2017","33593","1"
"Norway","2016","Total","Female","35","Estimate - de jure","Final figure, complete","2017","33694","1"
"Norway","2016","Total","Female","35 - 39","Estimate - de jure","Final figure, complete","2017","165514","1"
"Norway","2016","Total","Female","36","Estimate - de jure","Final figure, complete","2017","33352","1"
"Norway","2016","Total","Female","37","Estimate - de jure","Final figure, complete","2017","33019","1"
"Norway","2016","Total","Female","38","Estimate - de jure","Final figure, complete","2017","32343","1"
"Norway","2016","Total","Female","39","Estimate - de jure","Final figure, complete","2017","33106","1"
"Norway","2016","Total","Female","40","Estimate - de jure","Final figure, complete","2017","34217","1"
"Norway","2016","Total","Female","40 - 44","Estimate - de jure","Final figure, complete","2017","179448","1"
"Norway","2016","Total","Female","41","Estimate - de jure","Final figure, complete","2017","35728","1"
"Norway","2016","Total","Female","42","Estimate - de jure","Final figure, complete","2017","35543","1"
"Norway","2016","Total","Female","43","Estimate - de jure","Final figure, complete","2017","36875","1"
"Norway","2016","Total","Female","44","Estimate - de jure","Final figure, complete","2017","37085","1"
"Norway","2016","Total","Female","45","Estimate - de jure","Final figure, complete","2017","36645","1"
"Norway","2016","Total","Female","45 - 49","Estimate - de jure","Final figure, complete","2017","182583","1"
"Norway","2016","Total","Female","46","Estimate - de jure","Final figure, complete","2017","37386","1"
"Norway","2016","Total","Female","47","Estimate - de jure","Final figure, complete","2017","36984","1"
"Norway","2016","Total","Female","48","Estimate - de jure","Final figure, complete","2017","36063","1"
"Norway","2016","Total","Female","49","Estimate - de jure","Final figure, complete","2017","35505","1"
"Norway","2016","Total","Female","50","Estimate - de jure","Final figure, complete","2017","35046","1"
"Norway","2016","Total","Female","50 - 54","Estimate - de jure","Final figure, complete","2017","167132","1"
"Norway","2016","Total","Female","51","Estimate - de jure","Final figure, complete","2017","34456","1"
"Norway","2016","Total","Female","52","Estimate - de jure","Final figure, complete","2017","33420","1"
"Norway","2016","Total","Female","53","Estimate - de jure","Final figure, complete","2017","32330","1"
"Norway","2016","Total","Female","54","Estimate - de jure","Final figure, complete","2017","31880","1"
"Norway","2016","Total","Female","55","Estimate - de jure","Final figure, complete","2017","31485","1"
"Norway","2016","Total","Female","55 - 59","Estimate - de jure","Final figure, complete","2017","155997","1"
"Norway","2016","Total","Female","56","Estimate - de jure","Final figure, complete","2017","31417","1"
"Norway","2016","Total","Female","57","Estimate - de jure","Final figure, complete","2017","31325","1"
"Norway","2016","Total","Female","58","Estimate - de jure","Final figure, complete","2017","30687","1"
"Norway","2016","Total","Female","59","Estimate - de jure","Final figure, complete","2017","31083","1"
"Norway","2016","Total","Female","60","Estimate - de jure","Final figure, complete","2017","30205","1"
"Norway","2016","Total","Female","60 - 64","Estimate - de jure","Final figure, complete","2017","144610","1"
"Norway","2016","Total","Female","61","Estimate - de jure","Final figure, complete","2017","29584","1"
"Norway","2016","Total","Female","62","Estimate - de jure","Final figure, complete","2017","29263","1"
"Norway","2016","Total","Female","63","Estimate - de jure","Final figure, complete","2017","28582","1"
"Norway","2016","Total","Female","64","Estimate - de jure","Final figure, complete","2017","26976","1"
"Norway","2016","Total","Female","65","Estimate - de jure","Final figure, complete","2017","27510","1"
"Norway","2016","Total","Female","65 - 69","Estimate - de jure","Final figure, complete","2017","139817","1"
"Norway","2016","Total","Female","66","Estimate - de jure","Final figure, complete","2017","27467","1"
"Norway","2016","Total","Female","67","Estimate - de jure","Final figure, complete","2017","27557","1"
"Norway","2016","Total","Female","68","Estimate - de jure","Final figure, complete","2017","28317","1"
"Norway","2016","Total","Female","69","Estimate - de jure","Final figure, complete","2017","28966","1"
"Norway","2016","Total","Female","70","Estimate - de jure","Final figure, complete","2017","25778","1"
"Norway","2016","Total","Female","70 - 74","Estimate - de jure","Final figure, complete","2017","108603","1"
"Norway","2016","Total","Female","71","Estimate - de jure","Final figure, complete","2017","24395","1"
"Norway","2016","Total","Female","72","Estimate - de jure","Final figure, complete","2017","21475","1"
"Norway","2016","Total","Female","73","Estimate - de jure","Final figure, complete","2017","19794","1"
"Norway","2016","Total","Female","74","Estimate - de jure","Final figure, complete","2017","17161","1"
"Norway","2016","Total","Female","75","Estimate - de jure","Final figure, complete","2017","17478","1"
"Norway","2016","Total","Female","75 - 79","Estimate - de jure","Final figure, complete","2017","78596","1"
"Norway","2016","Total","Female","76","Estimate - de jure","Final figure, complete","2017","16748","1"
"Norway","2016","Total","Female","77","Estimate - de jure","Final figure, complete","2017","15807","1"
"Norway","2016","Total","Female","78","Estimate - de jure","Final figure, complete","2017","14738","1"
"Norway","2016","Total","Female","79","Estimate - de jure","Final figure, complete","2017","13825","1"
"Norway","2016","Total","Female","80","Estimate - de jure","Final figure, complete","2017","13013","1"
