"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Spain","2016","Total","Female","Total","Estimate - de jure","Final figure, complete","2017","23636408","1"
"Spain","2016","Total","Female","0","Estimate - de jure","Final figure, complete","2017","203447","1"
"Spain","2016","Total","Female","0 - 4","Estimate - de jure","Final figure, complete","2017","1067698","1"
"Spain","2016","Total","Female","1","Estimate - de jure","Final figure, complete","2017","207849","1"
"Spain","2016","Total","Female","1 - 4","Estimate - de jure","Final figure, complete","2017","864251","1"
"Spain","2016","Total","Female","2","Estimate - de jure","Final figure, complete","2017","207521","1"
"Spain","2016","Total","Female","3","Estimate - de jure","Final figure, complete","2017","219766","1"
"Spain","2016","Total","Female","4","Estimate - de jure","Final figure, complete","2017","229115","1"
"Spain","2016","Total","Female","5","Estimate - de jure","Final figure, complete","2017","231893","1"
"Spain","2016","Total","Female","5 - 9","Estimate - de jure","Final figure, complete","2017","1198368","1"
"Spain","2016","Total","Female","6","Estimate - de jure","Final figure, complete","2017","236286","1"
"Spain","2016","Total","Female","7","Estimate - de jure","Final figure, complete","2017","249361","1"
"Spain","2016","Total","Female","8","Estimate - de jure","Final figure, complete","2017","241123","1"
"Spain","2016","Total","Female","9","Estimate - de jure","Final figure, complete","2017","239705","1"
"Spain","2016","Total","Female","10","Estimate - de jure","Final figure, complete","2017","235953","1"
"Spain","2016","Total","Female","10 - 14","Estimate - de jure","Final figure, complete","2017","1139832","1"
"Spain","2016","Total","Female","11","Estimate - de jure","Final figure, complete","2017","232808","1"
"Spain","2016","Total","Female","12","Estimate - de jure","Final figure, complete","2017","230009","1"
"Spain","2016","Total","Female","13","Estimate - de jure","Final figure, complete","2017","220902","1"
"Spain","2016","Total","Female","14","Estimate - de jure","Final figure, complete","2017","220160","1"
"Spain","2016","Total","Female","15","Estimate - de jure","Final figure, complete","2017","218185","1"
"Spain","2016","Total","Female","15 - 19","Estimate - de jure","Final figure, complete","2017","1060191","1"
"Spain","2016","Total","Female","16","Estimate - de jure","Final figure, complete","2017","214680","1"
"Spain","2016","Total","Female","17","Estimate - de jure","Final figure, complete","2017","206862","1"
"Spain","2016","Total","Female","18","Estimate - de jure","Final figure, complete","2017","210540","1"
"Spain","2016","Total","Female","19","Estimate - de jure","Final figure, complete","2017","209924","1"
"Spain","2016","Total","Female","20","Estimate - de jure","Final figure, complete","2017","209714","1"
"Spain","2016","Total","Female","20 - 24","Estimate - de jure","Final figure, complete","2017","1117004","1"
"Spain","2016","Total","Female","21","Estimate - de jure","Final figure, complete","2017","213901","1"
"Spain","2016","Total","Female","22","Estimate - de jure","Final figure, complete","2017","224230","1"
"Spain","2016","Total","Female","23","Estimate - de jure","Final figure, complete","2017","234254","1"
"Spain","2016","Total","Female","24","Estimate - de jure","Final figure, complete","2017","234905","1"
"Spain","2016","Total","Female","25","Estimate - de jure","Final figure, complete","2017","241344","1"
"Spain","2016","Total","Female","25 - 29","Estimate - de jure","Final figure, complete","2017","1279816","1"
"Spain","2016","Total","Female","26","Estimate - de jure","Final figure, complete","2017","248182","1"
"Spain","2016","Total","Female","27","Estimate - de jure","Final figure, complete","2017","255678","1"
"Spain","2016","Total","Female","28","Estimate - de jure","Final figure, complete","2017","262459","1"
"Spain","2016","Total","Female","29","Estimate - de jure","Final figure, complete","2017","272153","1"
"Spain","2016","Total","Female","30","Estimate - de jure","Final figure, complete","2017","282274","1"
"Spain","2016","Total","Female","30 - 34","Estimate - de jure","Final figure, complete","2017","1548998","1"
"Spain","2016","Total","Female","31","Estimate - de jure","Final figure, complete","2017","295339","1"
"Spain","2016","Total","Female","32","Estimate - de jure","Final figure, complete","2017","306569","1"
"Spain","2016","Total","Female","33","Estimate - de jure","Final figure, complete","2017","325162","1"
"Spain","2016","Total","Female","34","Estimate - de jure","Final figure, complete","2017","339654","1"
"Spain","2016","Total","Female","35","Estimate - de jure","Final figure, complete","2017","357365","1"
"Spain","2016","Total","Female","35 - 39","Estimate - de jure","Final figure, complete","2017","1897606","1"
"Spain","2016","Total","Female","36","Estimate - de jure","Final figure, complete","2017","368696","1"
"Spain","2016","Total","Female","37","Estimate - de jure","Final figure, complete","2017","384707","1"
"Spain","2016","Total","Female","38","Estimate - de jure","Final figure, complete","2017","389144","1"
"Spain","2016","Total","Female","39","Estimate - de jure","Final figure, complete","2017","397694","1"
"Spain","2016","Total","Female","40","Estimate - de jure","Final figure, complete","2017","393991","1"
"Spain","2016","Total","Female","40 - 44","Estimate - de jure","Final figure, complete","2017","1926218","1"
"Spain","2016","Total","Female","41","Estimate - de jure","Final figure, complete","2017","392405","1"
"Spain","2016","Total","Female","42","Estimate - de jure","Final figure, complete","2017","382531","1"
"Spain","2016","Total","Female","43","Estimate - de jure","Final figure, complete","2017","381304","1"
