"INDICATOR","HFA_589"

"HFA_589","Number of abortions, age under 20 years"

"UNIT_TYPE","Unit"
"NUM_PROC","number of procedures"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"HRV","","ALL","2009","378"
"DNK","","ALL","2002","1915"
"HRV","","ALL","2003","494"
"GEO","","ALL","1993","2944"
"MDA","","ALL","2010","1361"
"FIN","","ALL","2006","2239"
"FRA","","ALL","1995","21433.81"
"ISR","","ALL","1994","2217"
"MKD","","ALL","2015","217"
"FIN","","ALL","2008","2084"
"GEO","","ALL","1994","3372"
"EST","","ALL","2002","1432"
"SVN","","ALL","2015","208"
"LTU","","ALL","2001","1010"
"MDA","","ALL","2009","1518"
"FRA","","ALL","1992","22500.5"
"ISR","","ALL","1988","1891"
"MDA","","ALL","2003","1875"
"EST","","ALL","1994","2290"
"HRV","","ALL","2000","423"
"ISR","","ALL","1993","2116"
"EST","","ALL","2005","1357"
"FRA","","ALL","1994","21610.86"
"LTU","","ALL","2000","1166"
"SVN","","ALL","2011","309"
"GEO","","ALL","1991","5947"
"CHE","","ALL","2012","984"
"ROU","","ALL","2002","19931"
"ALB","","ALL","1995","864"
"FIN","","ALL","2001","2490"
"NOR","","ALL","2009","2477"
"FIN","","ALL","1998","2094"
"ITA","","ALL","2014","7480"
"ALB","","ALL","1997","458"
"SVN","","ALL","2010","338"
"BGR","","ALL","1999","7241"
"MDA","","ALL","2005","1569"
"DNK","","ALL","1999","1888"
"HRV","","ALL","2006","414"
"ALB","","ALL","1985","389"
"GEO","","ALL","1992","4028"
"NLD","","ALL","2006","3587"
"ALB","","ALL","1993","1006"
"HUN","","ALL","2010","5020"
"TKM","","ALL","1995","2218"
"MNE","","ALL","2009","31"
"HRV","","ALL","2007","423"
"GBR","","ALL","2003","41317"
"HRV","","ALL","2002","482"
"UZB","","ALL","1999","3631"
"HRV","","ALL","2008","358"
"AZE","","ALL","2009","1251"
"BGR","","ALL","1998","8925"
"BGR","","ALL","1994","10890"
"AZE","","ALL","2006","1014"
"UZB","","ALL","2001","2725"
"HRV","","ALL","2001","453"
"ALB","","ALL","1992","746"
"FIN","","ALL","2000","2406"
"FIN","","ALL","2009","2111"
"MNE","","ALL","1999","76"
"EST","","ALL","2004","1452"
"UKR","","ALL","2003","26265"
"HRV","","ALL","1998","534"
"UZB","","ALL","2006","2146"
"ROU","","ALL","1987","8263"
"ROU","","ALL","2012","8023"
"BGR","","ALL","1995","11082"
"EST","","ALL","2006","1319"
"NLD","","ALL","2008","3502"
"UZB","","ALL","2005","2128"
"HRV","","ALL","2004","400"
"DNK","","ALL","1998","2065"
"MDA","","ALL","2004","1615"
"UZB","","ALL","2003","2671"
"SVN","","ALL","2005","464"
"EST","","ALL","1995","2128"
"LVA","","ALL","2009","800"
"EST","","ALL","2001","1581"
"UZB","","ALL","2002","2645"
"MDA","","ALL","2002","1746"
"AZE","","ALL","2010","1165"
"UZB","","ALL","2004","2299"
"SRB","","ALL","2012","838"
"MDA","","ALL","2008","1353"
"FRA","","ALL","1993","22021.71"
"ALB","","ALL","1994","653"
"FIN","","ALL","1995","1766"
"BLR","","ALL","2013","1857"
"NLD","","ALL","2007","3626"
"MLT","","ALL","2014","0"
"AZE","","ALL","2014","1161"
"UZB","","ALL","1997","5368"
"GBR","","ALL","2007","47528"
"MNE","","ALL","1997","90"
"MDA","","ALL","2014","1031"
"ROU","","ALL","2009","12570"
"HUN","","ALL","2009","5337"
"FIN","","ALL","1999","2282"
"EST","","ALL","1998","2027"
"HRV","","ALL","2005","355"
"UZB","","ALL","1998","4390"
"SWE","","ALL","1999","4673"
"SVK","","ALL","1996","2257"
"ROU","","ALL","2003","20357"
"TKM","","ALL","1996","1851"
"LTU","","ALL","2002","863"
"SVK","","ALL","1995","2592"
"MDA","","ALL","2012","1392"
"LTU","","ALL","2014","367"
"HUN","","ALL","1997","10797"
"HUN","","ALL","2011","4709"
"HRV","","ALL","1993","1148"
"MDA","","ALL","2007","1428"
"BGR","","ALL","2006","3656"
"MNE","","ALL","1998","63"
"EST","","ALL","2008","1096"
"DNK","","ALL","2000","1953"
"CZE","","ALL","2015","1371"
"GBR","","ALL","2014","29465"
"AZE","","ALL","1999","659"
"FIN","","ALL","2004","2457"
"AZE","","ALL","2005","822"
"GEO","","ALL","2015","1011"
"ROU","","ALL","2000","20127"
"SVK","","ALL","1993","4275"
"EST","","ALL","2000","1651"
"EST","","ALL","2003","1483"
"FIN","","ALL","1994","1710"
"ALB","","ALL","1991","811"
"ALB","","ALL","1990","695"
"BGR","","ALL","2005","3890"
"BGR","","ALL","2000","6102"
"MDA","","ALL","2006","1410"
"GBR","","ALL","2005","42422"
"EST","","ALL","2007","1295"
"MKD","","ALL","2009","234"
"NLD","","ALL","2005","3707"
"","CIS","ALL","2013","68394"
"FIN","","ALL","1988","2550"
"BGR","","ALL","1989","12052"
"FRA","","ALL","1991","23781.23"
"EST","","ALL","2011","652"
"DNK","","ALL","2001","1924"
"ROU","","ALL","1999","20993"
"SWE","","ALL","1994","4477"
"LTU","","ALL","1991","2011"
"MKD","","ALL","1984","1082"
"BGR","","ALL","2008","3901"
"AZE","","ALL","2003","809"
"EST","","ALL","1993","2672"
"EST","","ALL","1992","2956"
"FIN","","ALL","1996","1818"
"SVN","","ALL","2004","511"
"LVA","","ALL","2010","676"
"HRV","","ALL","1999","451"
"FRA","","ALL","2015","22335"
"NLD","","ALL","1993","2060"
"","CARINFONET","ALL","2009","9044"
"FIN","","ALL","1992","1905"
"GBR","","ALL","2015","28105"
"LTU","","ALL","1993","739"
"ROU","","ALL","1988","7230"
"AZE","","ALL","2007","1100"
"PRT","","ALL","2013","1944"
