"Country or Area","Year","Sex","Age","Source Year","Value","Value Footnotes"
"Australia","2016","Female","Total","2017","11855248","1,2"
"Australia","2016","Female","Total","2017","12137904","3"
"Australia","2016","Female","0","2017","134594","1,2"
"Australia","2016","Female","0","2017","153122","3"
"Australia","2016","Female","0 - 4","2017","712638","1,2"
"Australia","2016","Female","0 - 4","2017","761628","3"
"Australia","2016","Female","1","2017","142482","1,2"
"Australia","2016","Female","1","2017","150047","3"
"Australia","2016","Female","1 - 4","2017","608506","3"
"Australia","2016","Female","2","2017","143914","1,2"
"Australia","2016","Female","2","2017","150789","3"
"Australia","2016","Female","3","2017","145528","1,2"
"Australia","2016","Female","3","2017","154152","3"
"Australia","2016","Female","4","2017","146114","1,2"
"Australia","2016","Female","4","2017","153518","3"
"Australia","2016","Female","5","2017","145191","1,2"
"Australia","2016","Female","5","2017","148742","3"
"Australia","2016","Female","5 - 9","2017","731592","1,2"
"Australia","2016","Female","5 - 9","2017","744665","3"
"Australia","2016","Female","6","2017","147795","1,2"
"Australia","2016","Female","6","2017","150871","3"
"Australia","2016","Female","7","2017","145564","1,2"
"Australia","2016","Female","7","2017","149686","3"
"Australia","2016","Female","8","2017","146881","1,2"
"Australia","2016","Female","8","2017","149031","3"
"Australia","2016","Female","9","2017","146165","1,2"
"Australia","2016","Female","9","2017","146335","3"
"Australia","2016","Female","10","2017","141986","1,2"
"Australia","2016","Female","10","2017","146156","3"
"Australia","2016","Female","10 - 14","2017","679553","1,2"
"Australia","2016","Female","10 - 14","2017","701874","3"
"Australia","2016","Female","11","2017","136153","1,2"
"Australia","2016","Female","11","2017","141334","3"
"Australia","2016","Female","12","2017","134511","1,2"
"Australia","2016","Female","12","2017","138899","3"
"Australia","2016","Female","13","2017","133753","1,2"
"Australia","2016","Female","13","2017","138000","3"
"Australia","2016","Female","14","2017","133147","1,2"
"Australia","2016","Female","14","2017","137485","3"
"Australia","2016","Female","15","2017","135431","1,2"
"Australia","2016","Female","15","2017","140225","3"
"Australia","2016","Female","15 - 19","2017","693915","1,2"
"Australia","2016","Female","15 - 19","2017","724028","3"
"Australia","2016","Female","16","2017","137931","1,2"
"Australia","2016","Female","16","2017","142134","3"
"Australia","2016","Female","17","2017","137845","1,2"
"Australia","2016","Female","17","2017","143272","3"
"Australia","2016","Female","18","2017","138592","1,2"
"Australia","2016","Female","18","2017","145658","3"
"Australia","2016","Female","19","2017","144118","1,2"
"Australia","2016","Female","19","2017","152739","3"
"Australia","2016","Female","20","2017","147871","1,2"
"Australia","2016","Female","20","2017","155627","3"
"Australia","2016","Female","20 - 24","2017","771369","1,2"
"Australia","2016","Female","20 - 24","2017","816639","3"
"Australia","2016","Female","21","2017","152029","1,2"
"Australia","2016","Female","21","2017","160432","3"
"Australia","2016","Female","22","2017","152924","1,2"
"Australia","2016","Female","22","2017","161885","3"
"Australia","2016","Female","23","2017","157980","1,2"
"Australia","2016","Female","23","2017","167073","3"
"Australia","2016","Female","24","2017","160563","1,2"
"Australia","2016","Female","24","2017","171622","3"
"Australia","2016","Female","25","2017","164792","1,2"
"Australia","2016","Female","25","2017","174963","3"
"Australia","2016","Female","25 - 29","2017","840525","1,2"
"Australia","2016","Female","25 - 29","2017","887711","3"
"Australia","2016","Female","26","2017","169099","1,2"
"Australia","2016","Female","26","2017","178971","3"
"Australia","2016","Female","27","2017","167761","1,2"
"Australia","2016","Female","27","2017","177518","3"
"Australia","2016","Female","28","2017","169656","1,2"
"Australia","2016","Female","28","2017","177721","3"
"Australia","2016","Female","29","2017","169213","1,2"
"Australia","2016","Female","29","2017","178538","3"
"Australia","2016","Female","30","2017","174069","1,2"
"Australia","2016","Female","30","2017","180473","3"
"Australia","2016","Female","30 - 34","2017","864026","1,2"
"Australia","2016","Female","30 - 34","2017","894582","3"
"Australia","2016","Female","31","2017","173573","1,2"
"Australia","2016","Female","31","2017","181806","3"
"Australia","2016","Female","32","2017","173833","1,2"
"Australia","2016","Female","32","2017","179876","3"
"Australia","2016","Female","33","2017","173787","1,2"
"Australia","2016","Female","33","2017","178892","3"
"Australia","2016","Female","34","2017","168759","1,2"
"Australia","2016","Female","34","2017","173535","3"
"Australia","2016","Female","35","2017","166065","1,2"
"Australia","2016","Female","35","2017","169703","3"
"Australia","2016","Female","35 - 39","2017","788548","1,2"
"Australia","2016","Female","35 - 39","2017","808566","3"
"Australia","2016","Female","36","2017","159890","1,2"
"Australia","2016","Female","36","2017","163951","3"
"Australia","2016","Female","37","2017","156055","1,2"
"Australia","2016","Female","37","2017","160674","3"
"Australia","2016","Female","38","2017","153794","1,2"
"Australia","2016","Female","38","2017","157520","3"
"Australia","2016","Female","39","2017","152733","1,2"
"Australia","2016","Female","39","2017","156718","3"
"Australia","2016","Female","40","2017","154819","1,2"
"Australia","2016","Female","40","2017","156649","3"
"Australia","2016","Female","40 - 44","2017","805551","1,2"
"Australia","2016","Female","40 - 44","2017","818156","3"
"Australia","2016","Female","41","2017","155304","1,2"
"Australia","2016","Female","41","2017","158839","3"
"Australia","2016","Female","42","2017","160358","1,2"
"Australia","2016","Female","42","2017","162453","3"
"Australia","2016","Female","43","2017","164255","1,2"
"Australia","2016","Female","43","2017","166580","3"
"Australia","2016","Female","44","2017","170814","1,2"
"Australia","2016","Female","44","2017","173635","3"
"Australia","2016","Female","45","2017","175768","1,2"
"Australia","2016","Female","45","2017","176145","3"
"Australia","2016","Female","45 - 49","2017","808282","1,2"
"Australia","2016","Female","45 - 49","2017","814148","3"
"Australia","2016","Female","46","2017","163206","1,2"
"Australia","2016","Female","46","2017","165306","3"
"Australia","2016","Female","47","2017","161615","1,2"
"Australia","2016","Female","47","2017","163564","3"
"Australia","2016","Female","48","2017","156269","1,2"
"Australia","2016","Female","48","2017","156424","3"
"Australia","2016","Female","49","2017","151426","1,2"
"Australia","2016","Female","49","2017","152709","3"
"Australia","2016","Female","50","2017","151700","1,2"
"Australia","2016","Female","50","2017","152292","3"
"Australia","2016","Female","50 - 54","2017","774601","1,2"
"Australia","2016","Female","50 - 54","2017","781658","3"
"Australia","2016","Female","51","2017","150618","1,2"
"Australia","2016","Female","51","2017","153746","3"
"Australia","2016","Female","52","2017","156982","1,2"
"Australia","2016","Female","52","2017","157475","3"
"Australia","2016","Female","53","2017","158235","1,2"
"Australia","2016","Female","53","2017","159525","3"
"Australia","2016","Female","54","2017","157068","1,2"
"Australia","2016","Female","54","2017","158620","3"
"Australia","2016","Female","55","2017","157039","1,2"
"Australia","2016","Female","55","2017","158170","3"
"Australia","2016","Female","55 - 59","2017","745214","1,2"
"Australia","2016","Female","55 - 59","2017","752616","3"
"Australia","2016","Female","56","2017","151978","1,2"
"Australia","2016","Female","56","2017","153051","3"
"Australia","2016","Female","57","2017","147772","1,2"
"Australia","2016","Female","57","2017","150442","3"
"Australia","2016","Female","58","2017","146347","1,2"
"Australia","2016","Female","58","2017","147417","3"
"Australia","2016","Female","59","2017","142078","1,2"
"Australia","2016","Female","59","2017","143536","3"
"Australia","2016","Female","60","2017","139787","1,2"
"Australia","2016","Female","60","2017","140981","3"
"Australia","2016","Female","60 - 64","2017","667048","1,2"
"Australia","2016","Female","60 - 64","2017","668699","3"
"Australia","2016","Female","61","2017","135699","1,2"
"Australia","2016","Female","61","2017","137507","3"
"Australia","2016","Female","62","2017","132967","1,2"
"Australia","2016","Female","62","2017","133155","3"
"Australia","2016","Female","63","2017","131575","1,2"
"Australia","2016","Female","63","2017","131054","3"
"Australia","2016","Female","64","2017","127014","1,2"
"Australia","2016","Female","64","2017","126002","3"
"Australia","2016","Female","65","2017","125731","1,2"
"Australia","2016","Female","65","2017","123872","3"
"Australia","2016","Female","65 - 69","2017","607766","1,2"
"Australia","2016","Female","65 - 69","2017","600717","3"
"Australia","2016","Female","66","2017","122997","1,2"
"Australia","2016","Female","66","2017","121341","3"
"Australia","2016","Female","67","2017","118130","1,2"
"Australia","2016","Female","67","2017","116945","3"
"Australia","2016","Female","68","2017","117537","1,2"
"Australia","2016","Female","68","2017","117239","3"
"Australia","2016","Female","69","2017","123375","1,2"
"Australia","2016","Female","69","2017","121320","3"
"Australia","2016","Female","70","2017","101853","1,2"
"Australia","2016","Female","70","2017","102244","3"
"Australia","2016","Female","70 - 74","2017","456390","1,2"
"Australia","2016","Female","70 - 74","2017","459731","3"
"Australia","2016","Female","71","2017","96993","1,2"
"Australia","2016","Female","71","2017","98405","3"
"Australia","2016","Female","72","2017","93002","1,2"
"Australia","2016","Female","72","2017","93358","3"
"Australia","2016","Female","73","2017","82842","1,2"
"Australia","2016","Female","73","2017","84077","3"
"Australia","2016","Female","74","2017","81708","1,2"
"Australia","2016","Female","74","2017","81647","3"
"Australia","2016","Female","75","2017","75944","1,2"
"Australia","2016","Female","75","2017","75573","3"
"Australia","2016","Female","75 - 79","2017","345217","1,2"
"Australia","2016","Female","75 - 79","2017","340951","3"
"Australia","2016","Female","76","2017","72605","1,2"
"Australia","2016","Female","76","2017","72083","3"
"Australia","2016","Female","77","2017","69147","1,2"
"Australia","2016","Female","77","2017","68473","3"
"Australia","2016","Female","78","2017","65368","1,2"
"Australia","2016","Female","78","2017","64047","3"
"Australia","2016","Female","79","2017","62153","1,2"
"Australia","2016","Female","79","2017","60775","3"
"Australia","2016","Female","80","2017","58765","1,2"
"Australia","2016","Female","80","2017","58629","3"
"Australia","2016","Female","80 - 84","2017","256529","1,2"
"Australia","2016","Female","80 - 84","2017","256573","3"
"Australia","2016","Female","81","2017","53998","1,2"
"Australia","2016","Female","81","2017","54479","3"
"Australia","2016","Female","82","2017","50439","1,2"
"Australia","2016","Female","82","2017","50495","3"
"Australia","2016","Female","83","2017","48211","1,2"
"Australia","2016","Female","83","2017","48089","3"
"Australia","2016","Female","84","2017","45115","1,2"
"Australia","2016","Female","84","2017","44881","3"
"Australia","2016","Female","85","2017","44347","1,2"
"Australia","2016","Female","85","2017","44055","3"
"Australia","2016","Female","85 - 89","2017","185463","1,2"
"Australia","2016","Female","85 - 89","2017","184794","3"
"Australia","2016","Female","86","2017","41221","1,2"
"Australia","2016","Female","86","2017","40814","3"
"Australia","2016","Female","87","2017","36627","1,2"
"Australia","2016","Female","87","2017","36799","3"
"Australia","2016","Female","88","2017","33521","1,2"
"Australia","2016","Female","88","2017","33473","3"
"Australia","2016","Female","89","2017","29742","1,2"
"Australia","2016","Female","89","2017","29653","3"
"Australia","2016","Female","90","2017","26159","1,2"
"Australia","2016","Female","90","2017","25781","3"
"Australia","2016","Female","90 - 94","2017","93570","1,2"
"Australia","2016","Female","90 - 94","2017","92456","3"
"Australia","2016","Female","91","2017","22153","1,2"
"Australia","2016","Female","91","2017","22045","3"
"Australia","2016","Female","92","2017","18387","1,2"
"Australia","2016","Female","92","2017","18302","3"
"Australia","2016","Female","93","2017","14955","1,2"
