"Country or Area","Year","Sex","Age","Source Year","Value","Value Footnotes"
"Belgium","1948","Female","Total","1960","4332264",""
"Belgium","1949","Female","Total","1960","4363409",""
"Belgium","1950","Female","Total","1960","4385717",""
"Belgium","1951","Female","Total","1960","4406048",""
"Belgium","1952","Female","Total","1960","4429922",""
"Belgium","1953","Female","Total","1955","4457098",""
"Belgium","1954","Female","Total","1956","4483297",""
"Belgium","1955","Female","Total","1957","4510004",""
"Belgium","1956","Female","Total","1958","4538067",""
"Belgium","1957","Female","Total","1959","4570350",""
"Belgium","1958","Female","Total","1960","4604146",""
"Belgium","1959","Female","Total","1966","4635717",""
"Belgium","1960","Female","Total","1961","4665612",""
"Belgium","1961","Female","Total","1967","4692881",""
"Belgium","1962","Female","Total","1966","4715277",""
"Belgium","1963","Female","Total","1965","4739455",""
"Belgium","1964","Female","Total","1966","4778621",""
"Belgium","1965","Female","Total","1978","4818824",""
"Belgium","1966","Female","Total","1968","4868944",""
"Belgium","1966","Female","Total","1973","4853183",""
"Belgium","1967","Female","Total","1969","4897385",""
"Belgium","1967","Female","Total","1969","4883164",""
"Belgium","1968","Female","Total","1973","4905742",""
"Belgium","1969","Female","Total","1973","4922315",""
"Belgium","1970","Female","Total","1973","4929078",""
"Belgium","1971","Female","Total","1973","4950716",""
"Belgium","1971","Female","Total","1975","4939897",""
"Belgium","1972","Female","Total","1978","4966920",""
"Belgium","1973","Female","Total","1975","4982187",""
"Belgium","1974","Female","Total","1976","4989146",""
"Belgium","1975","Female","Total","1977","5002012",""
"Belgium","1976","Female","Total","1978","5011377",""
"Belgium","1977","Female","Total","1978","5014837",""
"Belgium","1977","Female","Total","1980","5019097",""
"Belgium","1978","Female","Total","1980","5025634",""
"Belgium","1979","Female","Total","1980","5036166",""
"Belgium","1979","Female","Total","1981","5032039",""
"Belgium","1980","Female","Total","1982","5035895",""
"Belgium","1980","Female","Total","1981","5036166",""
"Belgium","1981","Female","Total","1982","5038298",""
"Belgium","1982","Female","Total","1984","5043497",""
"Belgium","1983","Female","Total","1985","5044191",""
"Belgium","1984","Female","Total","1986","5044833",""
"Belgium","1985","Female","Total","1997","5046712",""
"Belgium","1986","Female","Total","1997","5048517",""
"Belgium","1987","Female","Total","1997","5053913",""
"Belgium","1988","Female","Total","1997","5078668",""
"Belgium","1989","Female","Total","1997","5087683",""
"Belgium","1990","Female","Total","1991","5096986",""
"Belgium","1990","Female","Total","1997","5106290",""
"Belgium","1991","Female","Total","1997","5122765",""
"Belgium","1992","Female","Total","1997","5144847",""
"Belgium","1993","Female","Total","1997","5160407",""
"Belgium","1994","Female","Total","1997","5175903",""
"Belgium","1995","Female","Total","1997","5184262",""
"Belgium","1999","Female","Total","2000","5226553",""
"Belgium","2000","Female","Total","2004","5239233",""
"Belgium","2001","Female","Total","2009","5260904",""
"Belgium","2001","Female","Total","2002","5256416",""
"Belgium","2001","Female","Total","2012","5245395",""
"Belgium","2001","Female","Total","2009","5186886",""
"Belgium","2001","Female","Total","2009","74018",""
"Belgium","2002","Female","Total","2004","5278198",""
"Belgium","2002","Female","Total","2012","5267437",""
"Belgium","2003","Female","Total","2012","5288959",""
"Belgium","2004","Female","Total","2005","5309245",""
"Belgium","2006","Female","Total","2006","5367561",""
"Belgium","2007","Female","Total","2008","5420934",""
"Belgium","2007","Female","Total","2008","5344334",""
"Belgium","2007","Female","Total","2008","76600",""
"Belgium","2008","Female","Total","2009","5442557",""
"Belgium","2009","Female","Total","2011","5506057",""
"Belgium","2009","Female","Total","2011","5428532",""
"Belgium","2009","Female","Total","2011","77525",""
"Belgium","2010","Female","Total","2011","5527684",""
"Belgium","2011","Female","Total","2015","5598920",""
"Belgium","2011","Female","Total","2012","5598920",""
"Belgium","2011","Female","Total","2013","5617974",""
"Belgium","2011","Female","Total","2015","5520348",""
"Belgium","2011","Female","Total","2013","5538975",""
"Belgium","2011","Female","Total","2015","78572",""
"Belgium","2011","Female","Total","2013","78999",""
"Belgium","2012","Female","Total","2013","5643070",""
"Belgium","2012","Female","Total","2013","5658638",""
"Belgium","2013","Female","Total","2013","5674206",""
"Belgium","2013","Female","Total","2015","5685064.5",""
"Belgium","2014","Female","Total","2015","5709050.5",""
"Belgium","2014","Female","Total","2015","5695923",""
"Belgium","2015","Female","Total","2017","5732015.5","1"
"Belgium","2015","Female","Total","2016","5722178",""
"Belgium","2016","Female","Total","2017","5741853",""
"Belgium","1948","Female","0","1960","69514",""
"Belgium","1949","Female","0","1960","69457",""
"Belgium","1950","Female","0","1960","68391",""
"Belgium","1951","Female","0","1960","67319",""
"Belgium","1952","Female","0","1960","67826",""
"Belgium","1953","Female","0","1955","68735",""
"Belgium","1954","Female","0","1956","69798",""
"Belgium","1955","Female","0","1957","70989",""
"Belgium","1956","Female","0","1958","71597",""
"Belgium","1957","Female","0","1959","72264",""
"Belgium","1958","Female","0","1960","73617",""
"Belgium","1959","Female","0","1966","75594",""
"Belgium","1960","Female","0","1961","75275",""
"Belgium","1961","Female","0","1967","75702",""
"Belgium","1962","Female","0","1966","74796",""
"Belgium","1963","Female","0","1965","75174",""
"Belgium","1964","Female","0","1966","76843",""
"Belgium","1965","Female","0","1978","75972",""
"Belgium","1966","Female","0","1973","73602",""
"Belgium","1966","Female","0","1968","72804",""
"Belgium","1967","Female","0","1969","70403",""
"Belgium","1967","Female","0","1969","71603",""
"Belgium","1969","Female","0","1973","68209",""
"Belgium","1970","Female","0","1973","67894",""
"Belgium","1971","Female","0","1973","67481",""
"Belgium","1971","Female","0","1975","67687",""
"Belgium","1972","Female","0","1978","64980",""
"Belgium","1973","Female","0","1975","62711",""
"Belgium","1974","Female","0","1976","61138",""
"Belgium","1977","Female","0","1978","58275",""
"Belgium","1978","Female","0","1980","58789",""
"Belgium","1979","Female","0","1980","59006",""
"Belgium","1979","Female","0","1981","58946",""
"Belgium","1980","Female","0","1981","59006",""
"Belgium","1981","Female","0","1982","59794",""
"Belgium","1982","Female","0","1984","58913",""
