Year	age	pregrate	pregrate_exp	birthrate	abrate	abrate_ratio	pregnancies	births_lv	abortions	miscarriages_stillb	pop
1990	15-19	117.6	224.9	60.3	41.1	40.5	1,017,470	521,826	355,710	139,940	8,656
1991	15-19	115.9	223.1	61.8	37.9	38.0	974,330	519,577	318,940	135,810	8,407
1992	15-19	111.6	216.2	60.3	35.7	37.2	936,350	505,415	299,870	131,070	8,389
1993	15-19	108.6	211.6	59.0	34.4	36.8	922,640	501,093	292,120	129,430	8,496
1994	15-19	105.1	206.1	58.2	32.1	35.6	913,520	505,488	279,030	129,000	8,689
1995	15-19	100.1	197.4	56.0	29.9	34.8	893,480	499,873	266,940	126,670	8,929
1996	15-19	96.1	191.6	53.5	29.0	35.2	883,390	491,577	266,820	125,000	9,193
1997	15-19	91.8	185.2	51.3	27.5	34.9	865,400	483,220	259,580	122,600	9,425
1998	15-19	89.2	181.9	50.3	26.2	34.2	859,700	484,895	252,570	122,240	9,641
1999	15-19	86.1	177.6	48.8	25.1	34.0	840,550	476,050	244,810	119,690	9,762
2000	15-19	83.8	174.9	47.6	24.3	33.8	826,070	468,990	239,340	117,730	9,855
2001	15-19	79.2	167.2	45.0	22.9	33.7	784,390	445,944	226,590	111,850	9,909
2002	15-19	74.8	159.8	42.6	21.5	33.5	746,550	425,493	214,510	106,550	9,982
2003	15-19	72.2	156.9	41.1	20.8	33.6	728,040	414,580	209,590	103,870	10,087
2004	15-19	70.5	155.9	40.5	19.9	32.9	722,010	415,262	203,360	103,390	10,243
2005	15-19	68.7	154.6	39.7	19.1	32.4	716,530	414,593	199,110	102,830	10,435
2006	15-19	70.5	161.6	41.1	19.3	31.9	747,020	435,436	204,080	107,500	10,597
2007	15-19	70.2	163.9	41.5	18.6	30.9	753,110	444,899	199,300	108,910	10,731
2008	15-19	68.2	154.7	40.2	18.1	31.0	736,930	434,758	195,660	106,520	10,805
2009	15-19	63.7	140.5	37.9	16.6	30.4	688,640	409,802	178,980	99,860	10,805
2010	15-19	57.7	127.9	34.3	15.0	30.4	617,990	367,678	160,700	89,610	10,704
2011	15-19	52.4	116.6	31.3	13.5	30.2	552,640	329,772	142,650	80,220	10,541
2012	15-19	48.3	107.8	29.3	11.9	28.8	502,460	305,388	123,630	73,440	10,412
2013	15-19	43.4	101.2	26.4	10.6	28.7	448,440	273,105	109,740	65,590	10,337
1990	15-17	74.6		37.5	26.9	41.8	364,730	183,327	131,580	49,820	4,889
1991	15-17	73.2		38.5	24.5	38.9	357,630	188,226	119,780	49,620	4,883
1992	15-17	70.6		37.5	23.3	38.2	352,820	187,549	116,150	49,120	4,995
1993	15-17	69.7		37.4	22.5	37.6	354,800	190,535	114,690	49,580	5,088
1994	15-17	68.1		37.2	21.3	36.5	357,360	195,169	111,960	50,230	5,251
1995	15-17	64.4		35.5	19.8	35.9	349,360	192,508	107,590	49,260	5,426
1996	15-17	60.7		33.3	18.9	36.2	338,800	185,721	105,400	47,680	5,583
1997	15-17	56.9		31.4	17.4	35.7	326,160	180,154	99,980	46,030	5,732
1998	15-17	54.2		29.9	16.6	35.7	313,800	173,231	96,290	44,280	5,789
1999	15-17	50.8		28.2	15.5	35.5	295,130	163,588	89,840	41,700	5,809
2000	15-17	48.4		26.8	14.7	35.4	283,430	157,209	86,170	40,060	5,862
2001	15-17	44.4		24.5	13.6	35.8	263,380	145,324	80,900	37,150	5,928
2002	15-17	42.0		23.1	13.0	35.9	252,070	138,731	77,810	35,530	6,008
2003	15-17	40.5		22.2	12.6	36.2	245,290	134,384	76,390	34,520	6,060
2004	15-17	39.2		21.8	11.8	35.2	240,740	133,980	72,690	34,070	6,146
2005	15-17	37.8		21.1	11.4	35.1	239,050	133,191	72,020	33,840	6,319
2006	15-17	38.5		21.6	11.4	34.6	247,700	138,943	73,610	35,150	6,434
2007	15-17	38.1		21.7	11.0	33.6	247,000	140,566	71,200	35,230	6,484
2008	15-17	37.0		21.1	10.6	33.4	237,590	135,664	67,990	33,930	6,417
2009	15-17	34.1		19.6	9.6	33.0	216,350	124,247	61,140	30,960	6,344
2010	15-17	30.3		17.4	8.6	33.0	190,200	109,173	53,810	27,220	6,282
2011	15-17	26.7		15.4	7.5	32.7	165,810	95,538	46,510	23,760	6,206
2012	15-17	24.0		14.1	6.4	31.4	147,130	86,423	39,470	21,230	6,142
2013	15-17	20.8		12.2	5.5	31.1	126,880	74,820	33,730	18,340	6,111
1990	18-19	173.3		89.9	59.5	39.8	652,750	338,499	224,130	90,110	3,766
1991	18-19	175.0		94.0	56.5	37.5	616,700	331,351	199,170	86,190	3,524
1992	18-19	172.0		93.7	54.1	36.6	583,530	317,866	183,720	81,950	3,393
1993	18-19	166.6		91.1	52.1	36.4	567,840	310,558	177,430	79,850	3,408
1994	18-19	161.8		90.3	48.6	35.0	556,170	310,319	167,080	78,770	3,438
1995	18-19	155.3		87.7	45.5	34.1	544,120	307,365	159,350	77,410	3,503
1996	18-19	150.9		84.7	44.7	34.5	544,590	305,856	161,420	77,310	3,610
1997	18-19	146.0		82.1	43.2	34.5	539,240	303,066	159,600	76,570	3,693
1998	18-19	141.7		80.9	40.6	33.4	545,900	311,664	156,280	77,960	3,852
1999	18-19	138.0		79.0	39.2	33.2	545,420	312,462	154,970	77,990	3,953
2000	18-19	135.9		78.1	38.4	32.9	542,630	311,781	153,180	77,670	3,993
2001	18-19	130.9		75.5	36.6	32.6	521,010	300,620	145,690	74,690	3,981
2002	18-19	124.4		72.2	34.4	32.3	494,480	286,762	136,700	71,020	3,974
2003	18-19	119.9		69.6	33.1	32.2	482,750	280,196	133,190	69,360	4,026
2004	18-19	117.5		68.7	31.9	31.7	481,270	281,282	130,660	69,320	4,096
2005	18-19	116.0		68.4	30.9	31.1	477,480	281,402	127,080	68,990	4,116
2006	18-19	119.9		71.2	31.3	30.6	499,310	296,493	130,470	72,350	4,163
2007	18-19	119.2		71.7	30.2	29.6	506,100	304,333	128,090	73,680	4,247
2008	18-19	113.8		68.2	29.1	29.9	499,350	299,094	127,670	72,590	4,389
2009	18-19	105.9		64.0	26.4	29.2	472,290	285,555	117,840	68,890	4,461
2010	18-19	96.7		58.5	24.2	29.3	427,790	258,505	106,890	62,390	4,422
2011	18-19	89.2		54.0	22.2	29.1	386,830	234,234	96,140	56,460	4,335
2012	18-19	83.2		51.3	19.7	27.8	355,330	218,965	84,160	52,210	4,270
2013	18-19	76.1		46.9	18.0	27.7	321,550	198,285	76,010	47,260	4,226
1990	<15	17.7		7.3	8.1	52.3	28,050	11,657	12,790	3,610	1,588
1991	<15	16.8		7.2	7.5	50.9	28,130	12,014	12,470	3,650	1,670
1992	<15	17.1		7.2	7.7	51.6	28,990	12,220	13,020	3,750	1,694
