year	totalfert	10-14	15-19	15-17	18-19	20-24	25-29	30-34	35-39	40-44	45-49
2017	1,765.5	0.2	18.8	7.9	35.1	71.0	98.0	100.3	52.3	11.6	0.9
2016	1,820.5	0.2	20.3	8.8	37.5	73.8	102.1	102.7	52.7	11.4	0.9
2015	1,843.5	0.2	22.3	9.9	40.7	76.8	104.3	101.5	51.8	11.0	0.8
2014	1,862.5	0.3	24.2	10.9	43.8	79.0	105.8	100.8	51.0	10.6	0.8
2013	1,857.5	0.3	26.5	12.3	47.1	80.7	105.5	98.0	49.3	10.4	0.8
2012	1,880.5	0.4	29.4	14.1	51.4	83.1	106.5	97.3	48.3	10.4	0.7
2011	1,894.5	0.4	31.3	15.4	54.1	85.3	107.2	96.5	47.2	10.3	0.7
2010	1,931.0	0.4	34.2	17.3	58.2	90.0	108.3	96.5	45.9	10.2	0.7
2009	2,002.0	0.5	37.9	19.6	64.0	96.2	111.5	97.5	46.1	10.0	0.7
2008	2,072.0	0.6	40.2	21.1	68.2	101.8	115.0	99.4	46.8	9.9	0.7
2007	2,120.0	0.6	41.5	21.7	71.7	105.4	118.1	100.6	47.6	9.6	0.6
2006	2,108.0	0.6	41.1	21.6	71.2	105.5	118.0	98.9	47.5	9.4	0.6
2005	2,057.0	0.6	39.7	21.1	68.4	101.8	116.5	96.7	46.4	9.1	0.6
2004	2,051.5	0.6	40.5	21.8	68.7	101.5	116.5	96.2	45.5	9.0	0.5
2003	2,047.5	0.6	41.1	22.2	69.6	102.3	116.7	95.7	43.9	8.7	0.5
2002	2,020.5	0.7	42.6	23.1	72.2	103.1	114.7	92.6	41.6	8.3	0.5
2001	2,030.5	0.8	45.0	24.5	75.5	105.6	113.8	91.8	40.5	8.1	0.5
2000	2,056.0	0.9	47.7	26.9	78.1	109.7	113.5	91.2	39.7	8.0	0.5
1999	2,007.5	0.9	48.8	28.2	79.1	107.9	111.2	87.1	37.8	7.4	0.4
1998	1,999.0	1.0	50.3	29.9	80.9	108.4	110.2	85.2	36.9	7.4	0.4
1997	1,971.0	1.1	51.3	31.4	82.1	107.3	108.3	83.0	35.7	7.1	0.4
1996	1,976.0	1.2	53.5	33.3	84.7	107.8	108.6	82.1	34.9	6.8	0.3
1995	1,978.0	1.3	56.0	35.5	87.7	107.5	108.8	81.1	34.0	6.6	0.3
1994	2,001.5	1.4	58.2	37.2	90.2	109.2	111.0	80.4	33.4	6.4	0.3
1993	2,019.5	1.4	59.0	37.5	91.1	111.3	113.2	79.9	32.7	6.1	0.3
1992	2,046.0	1.4	60.3	37.6	93.6	113.7	115.7	79.6	32.3	5.9	0.3
1991	2,062.5	1.4	61.8	38.6	94.0	115.3	117.2	79.2	31.9	5.5	0.2
1990	2,081.0	1.4	59.9	37.5	88.6	116.5	120.2	80.8	31.7	5.5	0.2
